"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 24 01:21:34 GMT 2023","Sun Dec 24 01:21:35 GMT 2023","1387","","","","","","Validate Council Output [AylesburyValeCouncil-None-None]",""
"passed","Sun Dec 24 01:22:40 GMT 2023","Sun Dec 24 01:23:01 GMT 2023","21432","","","","","","Validate Council Output [MidAndEastAntrimBoroughCouncil-http://selenium:4444-local]",""
"passed","Sun Dec 24 01:27:34 GMT 2023","Sun Dec 24 01:27:39 GMT 2023","4268","","","","","","Validate Council Output [WiganBoroughCouncil-None-None]",""
"passed","Sun Dec 24 01:25:19 GMT 2023","Sun Dec 24 01:25:21 GMT 2023","1766","","","","","","Validate Council Output [RochdaleCouncil-None-None]",""
"passed","Sun Dec 24 01:21:40 GMT 2023","Sun Dec 24 01:21:43 GMT 2023","2745","","","","","","Validate Council Output [BedfordshireCouncil-None-None]",""
"passed","Sun Dec 24 01:28:25 GMT 2023","Sun Dec 24 01:28:34 GMT 2023","9204","","","","","","Validate Council Output [HighPeakCouncil-http://selenium:4444-local]",""
"passed","Sun Dec 24 01:26:21 GMT 2023","Sun Dec 24 01:26:38 GMT 2023","16661","","","","","","Validate Council Output [EastSuffolkCouncil-http://selenium:4444-local]",""
"passed","Sun Dec 24 01:24:41 GMT 2023","Sun Dec 24 01:24:46 GMT 2023","4333","","","","","","Validate Council Output [NorthLincolnshireCouncil-None-None]",""
"passed","Sun Dec 24 01:26:10 GMT 2023","Sun Dec 24 01:26:11 GMT 2023","1464","","","","","","Validate Council Output [SouthAyrshireCouncil-None-None]",""
"passed","Sun Dec 24 01:24:54 GMT 2023","Sun Dec 24 01:24:55 GMT 2023","1599","","","","","","Validate Council Output [NorthSomersetCouncil-None-None]",""
"passed","Sun Dec 24 01:22:00 GMT 2023","Sun Dec 24 01:22:05 GMT 2023","5061","","","","","","Validate Council Output [BristolCityCouncil-None-None]",""
"passed","Sun Dec 24 01:25:04 GMT 2023","Sun Dec 24 01:25:06 GMT 2023","2139","","","","","","Validate Council Output [CheshireEastCouncil-None-None]",""
"failed","Sun Dec 24 01:25:10 GMT 2023","Sun Dec 24 01:25:17 GMT 2023","6787","","","","","","Validate Council Output [EastLindseyDistrictCouncil-http://selenium:4444-local]",""
"passed","Sun Dec 24 01:26:14 GMT 2023","Sun Dec 24 01:26:16 GMT 2023","1325","","","","","","Validate Council Output [SouthNorfolkCouncil-None-None]",""
"passed","Sun Dec 24 01:26:53 GMT 2023","Sun Dec 24 01:27:02 GMT 2023","8297","","","","","","Validate Council Output [WakefieldCityCouncil-http://selenium:4444-local]",""
"passed","Sun Dec 24 01:25:36 GMT 2023","Sun Dec 24 01:25:44 GMT 2023","7906","","","","","","Validate Council Output [SevenoaksDistrictCouncil-http://selenium:4444-local]",""
"failed","Sun Dec 24 01:28:16 GMT 2023","Sun Dec 24 01:28:21 GMT 2023","5856","","","","","","Validate Council Output [HaltonBoroughCouncil-http://selenium:4444-local]",""
"failed","Sun Dec 24 01:25:14 GMT 2023","Sun Dec 24 01:25:14 GMT 2023","3","","","","","","Validate Council Output [NorthEastLincs-None-None]",""
"passed","Sun Dec 24 01:21:34 GMT 2023","Sun Dec 24 01:21:58 GMT 2023","24398","","","","","","Validate Council Output [BlackburnCouncil-http://selenium:4444-local]",""
"passed","Sun Dec 24 01:27:49 GMT 2023","Sun Dec 24 01:27:50 GMT 2023","827","","","","","","Validate Council Output [YorkCouncil-None-None]",""
"passed","Sun Dec 24 01:26:45 GMT 2023","Sun Dec 24 01:26:48 GMT 2023","2847","","","","","","Validate Council Output [TonbridgeAndMallingBC-None-None]",""
"passed","Sun Dec 24 01:25:51 GMT 2023","Sun Dec 24 01:26:10 GMT 2023","18221","","","","","","Validate Council Output [SomersetCouncil-None-None]",""
"failed","Sun Dec 24 01:26:16 GMT 2023","Sun Dec 24 01:26:20 GMT 2023","4132","","","","","","Validate Council Output [SouthOxfordshireCouncil-None-None]",""
"passed","Sun Dec 24 01:22:13 GMT 2023","Sun Dec 24 01:22:32 GMT 2023","19790","","","","","","Validate Council Output [BuckinghamshireCouncil-http://selenium:4444-local]",""
"passed","Sun Dec 24 01:25:06 GMT 2023","Sun Dec 24 01:25:07 GMT 2023","1361","","","","","","Validate Council Output [EastCambridgeshireCouncil-None-None]",""
"passed","Sun Dec 24 01:25:44 GMT 2023","Sun Dec 24 01:25:47 GMT 2023","2736","","","","","","Validate Council Output [SheffieldCityCouncil-None-None]",""
"failed","Sun Dec 24 01:27:39 GMT 2023","Sun Dec 24 01:27:41 GMT 2023","2547","","","","","","Validate Council Output [WiltshireCouncil-None-None]",""
"passed","Sun Dec 24 01:26:40 GMT 2023","Sun Dec 24 01:26:42 GMT 2023","1895","","","","","","Validate Council Output [StokeOnTrentCityCouncil-None-None]",""
"passed","Sun Dec 24 01:24:00 GMT 2023","Sun Dec 24 01:24:01 GMT 2023","1240","","","","","","Validate Council Output [NewarkAndSherwoodDC-None-None]",""
"passed","Sun Dec 24 01:26:11 GMT 2023","Sun Dec 24 01:26:13 GMT 2023","2286","","","","","","Validate Council Output [SouthCambridgeshireCouncil-None-None]",""
"passed","Sun Dec 24 01:21:36 GMT 2023","Sun Dec 24 01:21:41 GMT 2023","4132","","","","","","Validate Council Output [CardiffCouncil-None-None]",""
"passed","Sun Dec 24 01:21:39 GMT 2023","Sun Dec 24 01:22:03 GMT 2023","24432","","","","","","Validate Council Output [DerbyshireDalesDistrictCouncil-http://selenium:4444-local]",""
"failed","Sun Dec 24 01:28:34 GMT 2023","Sun Dec 24 01:28:36 GMT 2023","1637","","","","","","Validate Council Output [HuntingdonDistrictCouncil-None-None]",""
"failed","Sun Dec 24 01:23:02 GMT 2023","Sun Dec 24 01:23:02 GMT 2023","2","","","","","","Validate Council Output [MiltonKeynesCityCouncil-None-None]",""
"passed","Sun Dec 24 01:25:47 GMT 2023","Sun Dec 24 01:25:51 GMT 2023","4774","","","","","","Validate Council Output [ShropshireCouncil-None-None]",""
"passed","Sun Dec 24 01:21:35 GMT 2023","Sun Dec 24 01:21:36 GMT 2023","1122","","","","","","Validate Council Output [CannockChaseDistrictCouncil-None-None]",""
"passed","Sun Dec 24 01:27:03 GMT 2023","Sun Dec 24 01:27:07 GMT 2023","4313","","","","","","Validate Council Output [WaverleyBoroughCouncil-None-None]",""
"passed","Sun Dec 24 01:25:34 GMT 2023","Sun Dec 24 01:25:36 GMT 2023","2109","","","","","","Validate Council Output [SalfordCityCouncil-None-None]",""
"passed","Sun Dec 24 01:25:33 GMT 2023","Sun Dec 24 01:25:34 GMT 2023","1045","","","","","","Validate Council Output [RushmoorCouncil-None-None]",""
"passed","Sun Dec 24 01:25:12 GMT 2023","Sun Dec 24 01:25:14 GMT 2023","1891","","","","","","Validate Council Output [OldhamCouncil-None-None]",""
"failed","Sun Dec 24 01:26:42 GMT 2023","Sun Dec 24 01:26:43 GMT 2023","1127","","","","","","Validate Council Output [SwaleBoroughCouncil-None-None]",""
"failed","Sun Dec 24 01:21:41 GMT 2023","Sun Dec 24 01:21:42 GMT 2023","1849","","","","","","Validate Council Output [CharnwoodBoroughCouncil-None-None]",""
"failed","Sun Dec 24 01:25:07 GMT 2023","Sun Dec 24 01:25:12 GMT 2023","4335","","","","","","Validate Council Output [NorthWestLeicestershire-http://selenium:4444-local]",""
"failed","Sun Dec 24 01:21:34 GMT 2023","Sun Dec 24 01:21:35 GMT 2023","1220","","","","","","Validate Council Output [CalderdaleCouncil-None-None]",""
"passed","Sun Dec 24 01:21:35 GMT 2023","Sun Dec 24 01:21:36 GMT 2023","1165","","","","","","Validate Council Output [BarnsleyMBCouncil-None-None]",""
"failed","Sun Dec 24 01:22:26 GMT 2023","Sun Dec 24 01:24:36 GMT 2023","129557","","","","","","Validate Council Output [LiverpoolCityCouncil-None-None]",""
"passed","Sun Dec 24 01:27:52 GMT 2023","Sun Dec 24 01:27:55 GMT 2023","2764","","","","","","Validate Council Output [RhonddaCynonTaffCouncil-None-None]",""
"passed","Sun Dec 24 01:22:06 GMT 2023","Sun Dec 24 01:22:13 GMT 2023","6663","","","","","","Validate Council Output [BroxtoweBoroughCouncil-http://selenium:4444-local]",""
"passed","Sun Dec 24 01:24:46 GMT 2023","Sun Dec 24 01:24:53 GMT 2023","7217","","","","","","Validate Council Output [NorthNorfolkDistrictCouncil-http://selenium:4444-local]",""
"failed","Sun Dec 24 01:21:43 GMT 2023","Sun Dec 24 01:25:04 GMT 2023","201148","","","","","","Validate Council Output [ChelmsfordCityCouncil-None-None]",""
"failed","Sun Dec 24 01:25:17 GMT 2023","Sun Dec 24 01:26:21 GMT 2023","64410","","","","","","Validate Council Output [EastRidingCouncil-http://selenium:4444-local]",""
"passed","Sun Dec 24 01:22:03 GMT 2023","Sun Dec 24 01:22:05 GMT 2023","2084","","","","","","Validate Council Output [DoncasterCouncil-None-None]",""
"passed","Sun Dec 24 01:27:40 GMT 2023","Sun Dec 24 01:27:41 GMT 2023","824","","","","","","Validate Council Output [ReadingBoroughCouncil-None-None]",""
"failed","Sun Dec 24 01:23:01 GMT 2023","Sun Dec 24 01:23:02 GMT 2023","1061","","","","","","Validate Council Output [MidSussexDistrictCouncil-None-None]",""
"passed","Sun Dec 24 01:27:11 GMT 2023","Sun Dec 24 01:27:20 GMT 2023","8420","","","","","","Validate Council Output [WestLothianCouncil-http://selenium:4444-local]",""
"passed","Sun Dec 24 01:26:13 GMT 2023","Sun Dec 24 01:26:14 GMT 2023","1002","","","","","","Validate Council Output [SouthLanarkshireCouncil-None-None]",""
