"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 22 01:14:30 GMT 2023","Fri Sep 22 01:14:32 GMT 2023","1559","","","","","","Validate Council Output [KingstonUponThamesCouncil]",""
"passed","Fri Sep 22 01:13:57 GMT 2023","Fri Sep 22 01:13:59 GMT 2023","2052","","","","","","Validate Council Output [GuildfordCouncil]",""
"passed","Fri Sep 22 01:18:07 GMT 2023","Fri Sep 22 01:18:11 GMT 2023","3226","","","","","","Validate Council Output [WindsorAndMaidenheadCouncil]",""
"passed","Fri Sep 22 01:13:05 GMT 2023","Fri Sep 22 01:13:09 GMT 2023","3624","","","","","","Validate Council Output [AylesburyValeCouncil]",""
"failed","Fri Sep 22 01:13:10 GMT 2023","Fri Sep 22 01:13:10 GMT 2023","604","","","","","","Validate Council Output [BathAndNorthEastSomersetCouncil]",""
"passed","Fri Sep 22 01:13:37 GMT 2023","Fri Sep 22 01:13:38 GMT 2023","731","","","","","","Validate Council Output [EastDevonDC]",""
"passed","Fri Sep 22 01:13:36 GMT 2023","Fri Sep 22 01:13:37 GMT 2023","1725","","","","","","Validate Council Output [EastCambridgeshireCouncil]",""
"passed","Fri Sep 22 01:13:21 GMT 2023","Fri Sep 22 01:13:26 GMT 2023","4894","","","","","","Validate Council Output [BristolCityCouncil]",""
"passed","Fri Sep 22 01:13:10 GMT 2023","Fri Sep 22 01:13:11 GMT 2023","1324","","","","","","Validate Council Output [CharnwoodBoroughCouncil]",""
"failed","Fri Sep 22 01:18:00 GMT 2023","Fri Sep 22 01:18:02 GMT 2023","1999","","","","","","Validate Council Output [WiganBoroughCouncil]",""
"passed","Fri Sep 22 01:14:57 GMT 2023","Fri Sep 22 01:15:03 GMT 2023","5830","","","","","","Validate Council Output [NorthumberlandCouncil]",""
"passed","Fri Sep 22 01:17:18 GMT 2023","Fri Sep 22 01:17:26 GMT 2023","7973","","","","","","Validate Council Output [SomersetCouncil]",""
"passed","Fri Sep 22 01:17:27 GMT 2023","Fri Sep 22 01:17:29 GMT 2023","2032","","","","","","Validate Council Output [SalfordCityCouncil]",""
"passed","Fri Sep 22 01:17:28 GMT 2023","Fri Sep 22 01:17:30 GMT 2023","2084","","","","","","Validate Council Output [SouthCambridgeshireCouncil]",""
"passed","Fri Sep 22 01:17:41 GMT 2023","Fri Sep 22 01:17:43 GMT 2023","2457","","","","","","Validate Council Output [ValeofGlamorganCouncil]",""
"failed","Fri Sep 22 01:13:59 GMT 2023","Fri Sep 22 01:13:59 GMT 2023","4","","","","","","Validate Council Output [HarrogateBoroughCouncil]",""
"passed","Fri Sep 22 01:17:08 GMT 2023","Fri Sep 22 01:17:12 GMT 2023","4332","","","","","","Validate Council Output [ManchesterCityCouncil]",""
"passed","Fri Sep 22 01:18:11 GMT 2023","Fri Sep 22 01:18:15 GMT 2023","4787","","","","","","Validate Council Output [WokingBoroughCouncil]",""
"passed","Fri Sep 22 01:14:00 GMT 2023","Fri Sep 22 01:14:04 GMT 2023","4663","","","","","","Validate Council Output [DoncasterCouncil]",""
"passed","Fri Sep 22 01:18:02 GMT 2023","Fri Sep 22 01:18:07 GMT 2023","5594","","","","","","Validate Council Output [WiltshireCouncil]",""
"failed","Fri Sep 22 01:17:12 GMT 2023","Fri Sep 22 01:17:13 GMT 2023","1105","","","","","","Validate Council Output [MertonCouncil]",""
"passed","Fri Sep 22 01:17:03 GMT 2023","Fri Sep 22 01:17:06 GMT 2023","2806","","","","","","Validate Council Output [LondonBoroughHounslow]",""
"passed","Fri Sep 22 01:17:58 GMT 2023","Fri Sep 22 01:18:00 GMT 2023","1624","","","","","","Validate Council Output [WealdenDistrictCouncil]",""
"passed","Fri Sep 22 01:17:27 GMT 2023","Fri Sep 22 01:17:27 GMT 2023","854","","","","","","Validate Council Output [RushmoorCouncil]",""
"passed","Fri Sep 22 01:13:56 GMT 2023","Fri Sep 22 01:14:00 GMT 2023","4018","","","","","","Validate Council Output [DerbyshireDalesDistrictCouncil]",""
"passed","Fri Sep 22 01:14:49 GMT 2023","Fri Sep 22 01:14:50 GMT 2023","1265","","","","","","Validate Council Output [NorthSomersetCouncil]",""
"passed","Fri Sep 22 01:14:32 GMT 2023","Fri Sep 22 01:14:36 GMT 2023","4092","","","","","","Validate Council Output [NorthKestevenDistrictCouncil]",""
"passed","Fri Sep 22 01:13:26 GMT 2023","Fri Sep 22 01:13:27 GMT 2023","1046","","","","","","Validate Council Output [BromleyBoroughCouncil]",""
"failed","Fri Sep 22 01:14:32 GMT 2023","Fri Sep 22 01:14:32 GMT 2023","4","","","","","","Validate Council Output [NorthEastLincs]",""
"failed","Fri Sep 22 01:17:33 GMT 2023","Fri Sep 22 01:17:34 GMT 2023","1118","","","","","","Validate Council Output [SwaleBoroughCouncil]",""
"passed","Fri Sep 22 01:13:54 GMT 2023","Fri Sep 22 01:13:57 GMT 2023","2474","","","","","","Validate Council Output [GlasgowCityCouncil]",""
"passed","Fri Sep 22 01:13:33 GMT 2023","Fri Sep 22 01:13:50 GMT 2023","16927","","","","","","Validate Council Output [Chilterns]",""
"passed","Fri Sep 22 01:13:51 GMT 2023","Fri Sep 22 01:13:53 GMT 2023","2286","","","","","","Validate Council Output [ErewashBoroughCouncil]",""
"failed","Fri Sep 22 01:15:03 GMT 2023","Fri Sep 22 01:17:15 GMT 2023","132193","","","","","","Validate Council Output [PrestonCityCouncil]",""
"passed","Fri Sep 22 01:13:42 GMT 2023","Fri Sep 22 01:13:51 GMT 2023","9470","","","","","","Validate Council Output [EastRidingCouncil]",""
"passed","Fri Sep 22 01:17:43 GMT 2023","Fri Sep 22 01:17:52 GMT 2023","8371","","","","","","Validate Council Output [WakefieldCityCouncil]",""
"passed","Fri Sep 22 01:17:29 GMT 2023","Fri Sep 22 01:17:32 GMT 2023","2772","","","","","","Validate Council Output [SouthNorfolkCouncil]",""
"failed","Fri Sep 22 01:13:16 GMT 2023","Fri Sep 22 01:13:17 GMT 2023","477","","","","","","Validate Council Output [BexleyCouncil]",""
"passed","Fri Sep 22 01:13:29 GMT 2023","Fri Sep 22 01:13:33 GMT 2023","3932","","","","","","Validate Council Output [CheshireEastCouncil]",""
"passed","Fri Sep 22 01:17:01 GMT 2023","Fri Sep 22 01:17:03 GMT 2023","1575","","","","","","Validate Council Output [LisburnCastlereaghCityCouncil]",""
"passed","Fri Sep 22 01:14:32 GMT 2023","Fri Sep 22 01:14:41 GMT 2023","9547","","","","","","Validate Council Output [LancasterCityCouncil]",""
"failed","Fri Sep 22 01:17:34 GMT 2023","Fri Sep 22 01:19:44 GMT 2023","130146","","","","","","Validate Council Output [TamesideMBCouncil]",""
