"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 11 00:28:06 GMT 2024","Thu Apr 11 00:28:07 GMT 2024","1471","","","","","","Validate Council Output [EnvironmentFirst-None-None]",""
"failed","Thu Apr 11 00:26:44 GMT 2024","Thu Apr 11 00:26:55 GMT 2024","11046","","","","","","Validate Council Output [BarnetCouncil-http://selenium:4444-local]",""
"failed","Thu Apr 11 00:29:25 GMT 2024","Thu Apr 11 00:29:59 GMT 2024","34061","","","","","","Validate Council Output [GatesheadCouncil-http://selenium:4444-local]",""
"passed","Thu Apr 11 00:26:42 GMT 2024","Thu Apr 11 00:26:48 GMT 2024","6261","","","","","","Validate Council Output [CrawleyBoroughCouncil-None-None]",""
"passed","Thu Apr 11 00:27:55 GMT 2024","Thu Apr 11 00:28:00 GMT 2024","4993","","","","","","Validate Council Output [LancasterCityCouncil-None-None]",""
"passed","Thu Apr 11 00:31:49 GMT 2024","Thu Apr 11 00:31:50 GMT 2024","1171","","","","","","Validate Council Output [WestLindseyDistrictCouncil-None-None]",""
"passed","Thu Apr 11 00:28:31 GMT 2024","Thu Apr 11 00:28:34 GMT 2024","2950","","","","","","Validate Council Output [NewportCityCouncil-None-None]",""
"passed","Thu Apr 11 00:31:08 GMT 2024","Thu Apr 11 00:31:16 GMT 2024","7870","","","","","","Validate Council Output [TonbridgeAndMallingBC-None-None]",""
"failed","Thu Apr 11 00:28:14 GMT 2024","Thu Apr 11 00:28:17 GMT 2024","3623","","","","","","Validate Council Output [NeathPortTalbotCouncil-http://selenium:4444-local]",""
"passed","Thu Apr 11 00:30:20 GMT 2024","Thu Apr 11 00:30:23 GMT 2024","3277","","","","","","Validate Council Output [RugbyBoroughCouncil-None-None]",""
"passed","Thu Apr 11 00:28:07 GMT 2024","Thu Apr 11 00:28:10 GMT 2024","3160","","","","","","Validate Council Output [ErewashBoroughCouncil-None-None]",""
"passed","Thu Apr 11 00:29:23 GMT 2024","Thu Apr 11 00:29:27 GMT 2024","3911","","","","","","Validate Council Output [NorthWestLeicestershire-http://selenium:4444-local]",""
"passed","Thu Apr 11 00:31:16 GMT 2024","Thu Apr 11 00:31:18 GMT 2024","1776","","","","","","Validate Council Output [TorbayCouncil-None-None]",""
"failed","Thu Apr 11 00:27:35 GMT 2024","Thu Apr 11 00:27:39 GMT 2024","4108","","","","","","Validate Council Output [HuntingdonDistrictCouncil-None-None]",""
"passed","Thu Apr 11 00:27:03 GMT 2024","Thu Apr 11 00:27:06 GMT 2024","3135","","","","","","Validate Council Output [DurhamCouncil-None-None]",""
"passed","Thu Apr 11 00:31:42 GMT 2024","Thu Apr 11 00:31:43 GMT 2024","1174","","","","","","Validate Council Output [WarwickDistrictCouncil-None-None]",""
"passed","Thu Apr 11 00:32:37 GMT 2024","Thu Apr 11 00:32:43 GMT 2024","5655","","","","","","Validate Council Output [ChorleyCouncil-http://selenium:4444-local]",""
"passed","Thu Apr 11 00:30:15 GMT 2024","Thu Apr 11 00:30:18 GMT 2024","3103","","","","","","Validate Council Output [RhonddaCynonTaffCouncil-None-None]",""
"passed","Thu Apr 11 00:32:20 GMT 2024","Thu Apr 11 00:32:22 GMT 2024","2021","","","","","","Validate Council Output [WyreCouncil-None-None]",""
"failed","Thu Apr 11 00:31:59 GMT 2024","Thu Apr 11 00:32:10 GMT 2024","11534","","","","","","Validate Council Output [WestSuffolkCouncil-http://selenium:4444-local]",""
"passed","Thu Apr 11 00:26:56 GMT 2024","Thu Apr 11 00:27:04 GMT 2024","7904","","","","","","Validate Council Output [BasingstokeCouncil-None-None]",""
"passed","Thu Apr 11 00:28:53 GMT 2024","Thu Apr 11 00:28:54 GMT 2024","938","","","","","","Validate Council Output [NorthLanarkshireCouncil-None-None]",""
"passed","Thu Apr 11 00:29:05 GMT 2024","Thu Apr 11 00:29:12 GMT 2024","6960","","","","","","Validate Council Output [NorthNorfolkDistrictCouncil-http://selenium:4444-local]",""
"passed","Thu Apr 11 00:31:37 GMT 2024","Thu Apr 11 00:31:42 GMT 2024","5013","","","","","","Validate Council Output [WakefieldCityCouncil-http://selenium:4444-local]",""
"passed","Thu Apr 11 00:27:01 GMT 2024","Thu Apr 11 00:27:03 GMT 2024","2280","","","","","","Validate Council Output [DoverDistrictCouncil-None-None]",""
"passed","Thu Apr 11 00:30:54 GMT 2024","Thu Apr 11 00:30:56 GMT 2024","1238","","","","","","Validate Council Output [StokeOnTrentCityCouncil-None-None]",""
"passed","Thu Apr 11 00:31:58 GMT 2024","Thu Apr 11 00:31:59 GMT 2024","1192","","","","","","Validate Council Output [WestNorthamptonshireCouncil-None-None]",""
"failed","Thu Apr 11 00:27:10 GMT 2024","Thu Apr 11 00:27:20 GMT 2024","9786","","","","","","Validate Council Output [HaltonBoroughCouncil-http://selenium:4444-local]",""
"passed","Thu Apr 11 00:27:21 GMT 2024","Thu Apr 11 00:27:25 GMT 2024","4625","","","","","","Validate Council Output [BristolCityCouncil-None-None]",""
"passed","Thu Apr 11 00:27:42 GMT 2024","Thu Apr 11 00:28:00 GMT 2024","17806","","","","","","Validate Council Output [BuckinghamshireCouncil-http://selenium:4444-local]",""
"failed","Thu Apr 11 00:28:13 GMT 2024","Thu Apr 11 00:28:13 GMT 2024","3","","","","","","Validate Council Output [MiltonKeynesCityCouncil-None-None]",""
"failed","Thu Apr 11 00:28:48 GMT 2024","Thu Apr 11 00:28:48 GMT 2024","3","","","","","","Validate Council Output [NorthEastLincs-None-None]",""
