"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 14 01:19:10 GMT 2023","Thu Dec 14 01:19:21 GMT 2023","10844","","","","","","Validate Council Output [NorthEastDerbyshireDistrictCouncil-http://selenium:4444-local]",""
"failed","Thu Dec 14 01:20:06 GMT 2023","Thu Dec 14 01:20:08 GMT 2023","1582","","","","","","Validate Council Output [SouthNorfolkCouncil-None-None]",""
"failed","Thu Dec 14 01:19:35 GMT 2023","Thu Dec 14 01:21:47 GMT 2023","131134","","","","","","Validate Council Output [PrestonCityCouncil-http://selenium:4444-local]",""
"passed","Thu Dec 14 01:20:16 GMT 2023","Thu Dec 14 01:20:26 GMT 2023","9753","","","","","","Validate Council Output [LiverpoolCityCouncil-None-None]",""
"passed","Thu Dec 14 01:22:04 GMT 2023","Thu Dec 14 01:22:06 GMT 2023","1951","","","","","","Validate Council Output [WealdenDistrictCouncil-None-None]",""
"failed","Thu Dec 14 01:18:04 GMT 2023","Thu Dec 14 01:18:11 GMT 2023","6214","","","","","","Validate Council Output [EastLindseyDistrictCouncil-http://selenium:4444-local]",""
"passed","Thu Dec 14 01:19:21 GMT 2023","Thu Dec 14 01:19:24 GMT 2023","3711","","","","","","Validate Council Output [NorthKestevenDistrictCouncil-None-None]",""
"passed","Thu Dec 14 01:19:25 GMT 2023","Thu Dec 14 01:19:34 GMT 2023","9372","","","","","","Validate Council Output [ReigateAndBansteadBoroughCouncil-http://selenium:4444-local]",""
"passed","Thu Dec 14 01:17:32 GMT 2023","Thu Dec 14 01:17:34 GMT 2023","1700","","","","","","Validate Council Output [BarnsleyMBCouncil-None-None]",""
"passed","Thu Dec 14 01:21:47 GMT 2023","Thu Dec 14 01:21:53 GMT 2023","6276","","","","","","Validate Council Output [RugbyBoroughCouncil-None-None]",""
"failed","Thu Dec 14 01:17:34 GMT 2023","Thu Dec 14 01:17:36 GMT 2023","2139","","","","","","Validate Council Output [BasingstokeCouncil-None-None]",""
"passed","Thu Dec 14 01:18:51 GMT 2023","Thu Dec 14 01:18:52 GMT 2023","1420","","","","","","Validate Council Output [NorthSomersetCouncil-None-None]",""
"passed","Thu Dec 14 01:22:42 GMT 2023","Thu Dec 14 01:22:43 GMT 2023","629","","","","","","Validate Council Output [YorkCouncil-None-None]",""
"passed","Thu Dec 14 01:22:40 GMT 2023","Thu Dec 14 01:22:41 GMT 2023","1255","","","","","","Validate Council Output [TorbayCouncil-None-None]",""
"failed","Thu Dec 14 01:17:43 GMT 2023","Thu Dec 14 01:17:44 GMT 2023","706","","","","","","Validate Council Output [FenlandDistrictCouncil-None-None]",""
"failed","Thu Dec 14 01:22:06 GMT 2023","Thu Dec 14 01:22:07 GMT 2023","174","","","","","","Validate Council Output [WelhatCouncil-None-None]",""
"failed","Thu Dec 14 01:18:33 GMT 2023","Thu Dec 14 01:18:37 GMT 2023","3996","","","","","","Validate Council Output [NeathPortTalbotCouncil-http://selenium:4444-local]",""
"failed","Thu Dec 14 01:18:33 GMT 2023","Thu Dec 14 01:18:33 GMT 2023","2","","","","","","Validate Council Output [MiltonKeynesCityCouncil-None-None]",""
"passed","Thu Dec 14 01:21:38 GMT 2023","Thu Dec 14 01:21:41 GMT 2023","3680","","","","","","Validate Council Output [TorridgeDistrictCouncil-None-None]",""
"passed","Thu Dec 14 01:19:40 GMT 2023","Thu Dec 14 01:19:47 GMT 2023","6517","","","","","","Validate Council Output [SevenoaksDistrictCouncil-http://selenium:4444-local]",""
"failed","Thu Dec 14 01:17:37 GMT 2023","Thu Dec 14 01:17:38 GMT 2023","1013","","","","","","Validate Council Output [BromleyBoroughCouncil-None-None]",""
"failed","Thu Dec 14 01:22:14 GMT 2023","Thu Dec 14 01:22:28 GMT 2023","13268","","","","","","Validate Council Output [WestSuffolkCouncil-http://selenium:4444-local]",""
"passed","Thu Dec 14 01:17:49 GMT 2023","Thu Dec 14 01:17:49 GMT 2023","786","","","","","","Validate Council Output [EastDevonDC-None-None]",""
"failed","Thu Dec 14 01:17:38 GMT 2023","Thu Dec 14 01:17:47 GMT 2023","8807","","","","","","Validate Council Output [ChelmsfordCityCouncil-None-None]",""
"passed","Thu Dec 14 01:21:35 GMT 2023","Thu Dec 14 01:21:38 GMT 2023","2278","","","","","","Validate Council Output [TonbridgeAndMallingBC-None-None]",""
"passed","Thu Dec 14 01:18:00 GMT 2023","Thu Dec 14 01:20:15 GMT 2023","134714","","","","","","Validate Council Output [LeedsCityCouncil-None-None]",""
