"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 18 00:28:51 GMT 2024","Mon Mar 18 00:29:08 GMT 2024","17219","","","","","","Validate Council Output [MidAndEastAntrimBoroughCouncil-http://selenium:4444-local]",""
"passed","Mon Mar 18 00:30:57 GMT 2024","Mon Mar 18 00:30:58 GMT 2024","1088","","","","","","Validate Council Output [WarwickDistrictCouncil-None-None]",""
"passed","Mon Mar 18 00:27:47 GMT 2024","Mon Mar 18 00:27:56 GMT 2024","8979","","","","","","Validate Council Output [BrightonandHoveCityCouncil-http://selenium:4444-local]",""
"passed","Mon Mar 18 00:29:58 GMT 2024","Mon Mar 18 00:29:59 GMT 2024","1581","","","","","","Validate Council Output [RochdaleCouncil-None-None]",""
"failed","Mon Mar 18 00:29:22 GMT 2024","Mon Mar 18 00:29:39 GMT 2024","16214","","","","","","Validate Council Output [MertonCouncil-None-None]",""
"passed","Mon Mar 18 00:27:52 GMT 2024","Mon Mar 18 00:27:53 GMT 2024","848","","","","","","Validate Council Output [BCPCouncil-None-None]",""
"passed","Mon Mar 18 00:28:37 GMT 2024","Mon Mar 18 00:28:39 GMT 2024","1383","","","","","","Validate Council Output [EnvironmentFirst-None-None]",""
"failed","Mon Mar 18 00:29:58 GMT 2024","Mon Mar 18 00:30:03 GMT 2024","4905","","","","","","Validate Council Output [GatesheadCouncil-http://selenium:4444-local]",""
"passed","Mon Mar 18 00:28:52 GMT 2024","Mon Mar 18 00:29:09 GMT 2024","17604","","","","","","Validate Council Output [KingstonUponThamesCouncil-None-None]",""
"passed","Mon Mar 18 00:29:09 GMT 2024","Mon Mar 18 00:29:10 GMT 2024","680","","","","","","Validate Council Output [MoleValleyDistrictCouncil-None-None]",""
"failed","Mon Mar 18 00:30:39 GMT 2024","Mon Mar 18 00:30:40 GMT 2024","864","","","","","","Validate Council Output [StHelensBC-None-None]",""
"passed","Mon Mar 18 00:29:30 GMT 2024","Mon Mar 18 00:29:34 GMT 2024","3731","","","","","","Validate Council Output [NorthNorthamptonshireCouncil-None-None]",""
"passed","Mon Mar 18 00:28:44 GMT 2024","Mon Mar 18 00:28:51 GMT 2024","6511","","","","","","Validate Council Output [ChorleyCouncil-http://selenium:4444-local]",""
"passed","Mon Mar 18 00:29:54 GMT 2024","Mon Mar 18 00:30:08 GMT 2024","14492","","","","","","Validate Council Output [PortsmouthCityCouncil-http://selenium:4444-local]",""
"passed","Mon Mar 18 00:31:31 GMT 2024","Mon Mar 18 00:31:34 GMT 2024","3441","","","","","","Validate Council Output [WiganBoroughCouncil-None-None]",""
