"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 07 00:27:02 GMT 2024","Wed Feb 07 00:27:10 GMT 2024","8839","","","","","","Validate Council Output [SwaleBoroughCouncil-None-None]",""
"passed","Wed Feb 07 00:27:39 GMT 2024","Wed Feb 07 00:27:40 GMT 2024","1414","","","","","","Validate Council Output [WealdenDistrictCouncil-None-None]",""
"passed","Wed Feb 07 00:24:22 GMT 2024","Wed Feb 07 00:24:27 GMT 2024","4109","","","","","","Validate Council Output [CastlepointDistrictCouncil-None-None]",""
"passed","Wed Feb 07 00:25:48 GMT 2024","Wed Feb 07 00:25:49 GMT 2024","1023","","","","","","Validate Council Output [MalvernHillsDC-None-None]",""
"failed","Wed Feb 07 00:27:02 GMT 2024","Wed Feb 07 00:27:02 GMT 2024","746","","","","","","Validate Council Output [StHelensBC-None-None]",""
"passed","Wed Feb 07 00:26:40 GMT 2024","Wed Feb 07 00:26:49 GMT 2024","9893","","","","","","Validate Council Output [NewcastleCityCouncil-None-None]",""
"passed","Wed Feb 07 00:24:27 GMT 2024","Wed Feb 07 00:24:32 GMT 2024","4953","","","","","","Validate Council Output [BristolCityCouncil-None-None]",""
"passed","Wed Feb 07 00:24:28 GMT 2024","Wed Feb 07 00:24:28 GMT 2024","586","","","","","","Validate Council Output [EastDevonDC-None-None]",""
"failed","Wed Feb 07 00:26:34 GMT 2024","Wed Feb 07 00:26:34 GMT 2024","3","","","","","","Validate Council Output [MiltonKeynesCityCouncil-None-None]",""
"passed","Wed Feb 07 00:28:03 GMT 2024","Wed Feb 07 00:28:07 GMT 2024","3598","","","","","","Validate Council Output [WiganBoroughCouncil-None-None]",""
"passed","Wed Feb 07 00:25:39 GMT 2024","Wed Feb 07 00:25:48 GMT 2024","8713","","","","","","Validate Council Output [MaldonDistrictCouncil-None-None]",""
"passed","Wed Feb 07 00:27:32 GMT 2024","Wed Feb 07 00:27:33 GMT 2024","1170","","","","","","Validate Council Output [WarwickDistrictCouncil-None-None]",""
"passed","Wed Feb 07 00:25:20 GMT 2024","Wed Feb 07 00:25:31 GMT 2024","10883","","","","","","Validate Council Output [HighPeakCouncil-http://selenium:4444-local]",""
"passed","Wed Feb 07 00:27:15 GMT 2024","Wed Feb 07 00:27:22 GMT 2024","6813","","","","","","Validate Council Output [TonbridgeAndMallingBC-None-None]",""
"failed","Wed Feb 07 00:24:02 GMT 2024","Wed Feb 07 00:24:03 GMT 2024","1464","","","","","","Validate Council Output [CroydonCouncil-None-None]",""
