"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 29 01:09:17 GMT 2023","Fri Dec 29 01:09:18 GMT 2023","664","","","","","","Validate Council Output [RushmoorCouncil-None-None]",""
"passed","Fri Dec 29 01:09:03 GMT 2023","Fri Dec 29 01:09:05 GMT 2023","2089","","","","","","Validate Council Output [RhonddaCynonTaffCouncil-None-None]",""
"passed","Fri Dec 29 01:09:05 GMT 2023","Fri Dec 29 01:09:06 GMT 2023","1420","","","","","","Validate Council Output [RochdaleCouncil-None-None]",""
"passed","Fri Dec 29 01:09:19 GMT 2023","Fri Dec 29 01:09:20 GMT 2023","605","","","","","","Validate Council Output [SouthLanarkshireCouncil-None-None]",""
"failed","Fri Dec 29 01:07:31 GMT 2023","Fri Dec 29 01:09:41 GMT 2023","129938","","","","","","Validate Council Output [LiverpoolCityCouncil-None-None]",""
"passed","Fri Dec 29 01:07:00 GMT 2023","Fri Dec 29 01:07:02 GMT 2023","1530","","","","","","Validate Council Output [CharnwoodBoroughCouncil-None-None]",""
"failed","Fri Dec 29 01:10:23 GMT 2023","Fri Dec 29 01:10:33 GMT 2023","9877","","","","","","Validate Council Output [WestSuffolkCouncil-http://selenium:4444-local]",""
"passed","Fri Dec 29 01:06:50 GMT 2023","Fri Dec 29 01:06:56 GMT 2023","6287","","","","","","Validate Council Output [CardiffCouncil-None-None]",""
"passed","Fri Dec 29 01:06:53 GMT 2023","Fri Dec 29 01:07:00 GMT 2023","7082","","","","","","Validate Council Output [GatesheadCouncil-http://selenium:4444-local]",""
"passed","Fri Dec 29 01:09:44 GMT 2023","Fri Dec 29 01:09:45 GMT 2023","983","","","","","","Validate Council Output [MaldonDistrictCouncil-None-None]",""
"passed","Fri Dec 29 01:06:49 GMT 2023","Fri Dec 29 01:06:53 GMT 2023","4342","","","","","","Validate Council Output [BristolCityCouncil-None-None]",""
"passed","Fri Dec 29 01:09:07 GMT 2023","Fri Dec 29 01:09:10 GMT 2023","2848","","","","","","Validate Council Output [NorthTynesideCouncil-None-None]",""
"passed","Fri Dec 29 01:06:48 GMT 2023","Fri Dec 29 01:06:49 GMT 2023","1421","","","","","","Validate Council Output [DoncasterCouncil-None-None]",""
"passed","Fri Dec 29 01:09:13 GMT 2023","Fri Dec 29 01:09:17 GMT 2023","4352","","","","","","Validate Council Output [RushcliffeBoroughCouncil-http://selenium:4444-local]",""
"failed","Fri Dec 29 01:07:41 GMT 2023","Fri Dec 29 01:08:27 GMT 2023","45771","","","","","","Validate Council Output [NeathPortTalbotCouncil-http://selenium:4444-local]",""
"passed","Fri Dec 29 01:09:29 GMT 2023","Fri Dec 29 01:09:35 GMT 2023","5954","","","","","","Validate Council Output [StockportBoroughCouncil-None-None]",""
"passed","Fri Dec 29 01:10:41 GMT 2023","Fri Dec 29 01:13:38 GMT 2023","176939","","","","","","Validate Council Output [WokingBoroughCouncil-None-None]",""
"passed","Fri Dec 29 01:11:17 GMT 2023","Fri Dec 29 01:11:19 GMT 2023","1631","","","","","","Validate Council Output [SalfordCityCouncil-None-None]",""
"passed","Fri Dec 29 01:06:29 GMT 2023","Fri Dec 29 01:06:31 GMT 2023","1232","","","","","","Validate Council Output [AylesburyValeCouncil-None-None]",""
"passed","Fri Dec 29 01:10:15 GMT 2023","Fri Dec 29 01:10:16 GMT 2023","1011","","","","","","Validate Council Output [WestLindseyDistrictCouncil-None-None]",""
"passed","Fri Dec 29 01:07:20 GMT 2023","Fri Dec 29 01:07:30 GMT 2023","10456","","","","","","Validate Council Output [LeedsCityCouncil-http://selenium:4444-local]",""
"passed","Fri Dec 29 01:06:35 GMT 2023","Fri Dec 29 01:06:35 GMT 2023","952","","","","","","Validate Council Output [BCPCouncil-None-None]",""
"failed","Fri Dec 29 01:09:23 GMT 2023","Fri Dec 29 01:11:06 GMT 2023","103145","","","","","","Validate Council Output [SouthOxfordshireCouncil-None-None]",""
"passed","Fri Dec 29 01:09:18 GMT 2023","Fri Dec 29 01:09:19 GMT 2023","1572","","","","","","Validate Council Output [SouthCambridgeshireCouncil-None-None]",""
"passed","Fri Dec 29 01:06:31 GMT 2023","Fri Dec 29 01:06:32 GMT 2023","907","","","","","","Validate Council Output [BarnsleyMBCouncil-None-None]",""
"passed","Fri Dec 29 01:09:19 GMT 2023","Fri Dec 29 01:09:27 GMT 2023","8027","","","","","","Validate Council Output [SomersetCouncil-None-None]",""
"failed","Fri Dec 29 01:07:00 GMT 2023","Fri Dec 29 01:07:06 GMT 2023","6286","","","","","","Validate Council Output [EastLindseyDistrictCouncil-http://selenium:4444-local]",""
"failed","Fri Dec 29 01:07:02 GMT 2023","Fri Dec 29 01:07:11 GMT 2023","8749","","","","","","Validate Council Output [ChelmsfordCityCouncil-None-None]",""
"passed","Fri Dec 29 01:06:58 GMT 2023","Fri Dec 29 01:07:00 GMT 2023","1710","","","","","","Validate Council Output [EastleighBoroughCouncil-None-None]",""
"passed","Fri Dec 29 01:09:27 GMT 2023","Fri Dec 29 01:09:28 GMT 2023","985","","","","","","Validate Council Output [SouthAyrshireCouncil-None-None]",""
"passed","Fri Dec 29 01:11:19 GMT 2023","Fri Dec 29 01:11:24 GMT 2023","5508","","","","","","Validate Council Output [SevenoaksDistrictCouncil-http://selenium:4444-local]",""
"passed","Fri Dec 29 01:08:35 GMT 2023","Fri Dec 29 01:08:44 GMT 2023","8918","","","","","","Validate Council Output [ForestOfDeanDistrictCouncil-http://selenium:4444-local]",""
"passed","Fri Dec 29 01:08:50 GMT 2023","Fri Dec 29 01:09:03 GMT 2023","12629","","","","","","Validate Council Output [ReigateAndBansteadBoroughCouncil-http://selenium:4444-local]",""
"passed","Fri Dec 29 01:08:44 GMT 2023","Fri Dec 29 01:08:45 GMT 2023","753","","","","","","Validate Council Output [NorthLanarkshireCouncil-None-None]",""
"failed","Fri Dec 29 01:07:40 GMT 2023","Fri Dec 29 01:07:41 GMT 2023","866","","","","","","Validate Council Output [MidSussexDistrictCouncil-None-None]",""
"passed","Fri Dec 29 01:13:38 GMT 2023","Fri Dec 29 01:13:39 GMT 2023","570","","","","","","Validate Council Output [YorkCouncil-None-None]",""
"passed","Fri Dec 29 01:07:12 GMT 2023","Fri Dec 29 01:07:20 GMT 2023","7854","","","","","","Validate Council Output [HighPeakCouncil-http://selenium:4444-local]",""
"passed","Fri Dec 29 01:10:33 GMT 2023","Fri Dec 29 01:10:36 GMT 2023","3320","","","","","","Validate Council Output [WiganBoroughCouncil-None-None]",""
"failed","Fri Dec 29 01:08:44 GMT 2023","Fri Dec 29 01:08:48 GMT 2023","4051","","","","","","Validate Council Output [NorthWestLeicestershire-http://selenium:4444-local]",""
"passed","Fri Dec 29 01:07:10 GMT 2023","Fri Dec 29 01:07:12 GMT 2023","2214","","","","","","Validate Council Output [HarrogateBoroughCouncil-None-None]",""
"passed","Fri Dec 29 01:06:34 GMT 2023","Fri Dec 29 01:06:36 GMT 2023","1338","","","","","","Validate Council Output [CrawleyBoroughCouncil-None-None]",""
"passed","Fri Dec 29 01:11:24 GMT 2023","Fri Dec 29 01:11:27 GMT 2023","2775","","","","","","Validate Council Output [SheffieldCityCouncil-None-None]",""
"failed","Fri Dec 29 01:09:38 GMT 2023","Fri Dec 29 01:09:39 GMT 2023","684","","","","","","Validate Council Output [SwaleBoroughCouncil-None-None]",""
"passed","Fri Dec 29 01:08:27 GMT 2023","Fri Dec 29 01:08:27 GMT 2023","817","","","","","","Validate Council Output [NewarkAndSherwoodDC-None-None]",""
"passed","Fri Dec 29 01:07:10 GMT 2023","Fri Dec 29 01:07:32 GMT 2023","21549","","","","","","Validate Council Output [BuckinghamshireCouncil-http://selenium:4444-local]",""
"passed","Fri Dec 29 01:06:34 GMT 2023","Fri Dec 29 01:06:35 GMT 2023","799","","","","","","Validate Council Output [BathAndNorthEastSomersetCouncil-None-None]",""
"passed","Fri Dec 29 01:09:51 GMT 2023","Fri Dec 29 01:09:53 GMT 2023","2521","","","","","","Validate Council Output [TorridgeDistrictCouncil-None-None]",""
"failed","Fri Dec 29 01:07:21 GMT 2023","Fri Dec 29 01:07:22 GMT 2023","622","","","","","","Validate Council Output [KingstonUponThamesCouncil-None-None]",""
"passed","Fri Dec 29 01:08:49 GMT 2023","Fri Dec 29 01:09:06 GMT 2023","16556","","","","","","Validate Council Output [PortsmouthCityCouncil-http://selenium:4444-local]",""
"passed","Fri Dec 29 01:06:50 GMT 2023","Fri Dec 29 01:06:53 GMT 2023","3124","","","","","","Validate Council Output [DurhamCouncil-None-None]",""
"passed","Fri Dec 29 01:06:58 GMT 2023","Fri Dec 29 01:06:58 GMT 2023","650","","","","","","Validate Council Output [EastDevonDC-None-None]",""
"failed","Fri Dec 29 01:07:04 GMT 2023","Fri Dec 29 01:07:04 GMT 2023","916","","","","","","Validate Council Output [GuildfordCouncil-None-None]",""
"passed","Fri Dec 29 01:06:29 GMT 2023","Fri Dec 29 01:06:34 GMT 2023","4863","","","","","","Validate Council Output [ConwyCountyBorough-None-None]",""
"failed","Fri Dec 29 01:06:36 GMT 2023","Fri Dec 29 01:06:37 GMT 2023","1083","","","","","","Validate Council Output [CroydonCouncil-None-None]",""
"failed","Fri Dec 29 01:07:11 GMT 2023","Fri Dec 29 01:07:11 GMT 2023","306","","","","","","Validate Council Output [CheshireEastCouncil-None-None]",""
"failed","Fri Dec 29 01:11:06 GMT 2023","Fri Dec 29 01:11:07 GMT 2023","579","","","","","","Validate Council Output [SouthTynesideCouncil-None-None]",""
"failed","Fri Dec 29 01:07:01 GMT 2023","Fri Dec 29 01:07:03 GMT 2023","2063","","","","","","Validate Council Output [GlasgowCityCouncil-None-None]",""
"passed","Fri Dec 29 01:07:23 GMT 2023","Fri Dec 29 01:07:40 GMT 2023","16993","","","","","","Validate Council Output [MidAndEastAntrimBoroughCouncil-http://selenium:4444-local]",""
"passed","Fri Dec 29 01:06:56 GMT 2023","Fri Dec 29 01:06:58 GMT 2023","1289","","","","","","Validate Council Output [EastCambridgeshireCouncil-None-None]",""
"passed","Fri Dec 29 01:08:48 GMT 2023","Fri Dec 29 01:08:49 GMT 2023","1530","","","","","","Validate Council Output [OldhamCouncil-None-None]",""
"passed","Fri Dec 29 01:06:29 GMT 2023","Fri Dec 29 01:06:45 GMT 2023","15228","","","","","","Validate Council Output [BlackburnCouncil-http://selenium:4444-local]",""
"passed","Fri Dec 29 01:09:03 GMT 2023","Fri Dec 29 01:09:05 GMT 2023","2390","","","","","","Validate Council Output [NorthNorthamptonshireCouncil-None-None]",""
"passed","Fri Dec 29 01:09:35 GMT 2023","Fri Dec 29 01:09:37 GMT 2023","1565","","","","","","Validate Council Output [StokeOnTrentCityCouncil-None-None]",""
"passed","Fri Dec 29 01:08:31 GMT 2023","Fri Dec 29 01:08:34 GMT 2023","2978","","","","","","Validate Council Output [ErewashBoroughCouncil-None-None]",""
