"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 23 00:14:27 GMT 2024","Fri Aug 23 00:14:30 GMT 2024","2848","","","","","","Validate Council Output [ErewashBoroughCouncil]",""
"failed","Fri Aug 23 00:24:25 GMT 2024","Fri Aug 23 00:24:29 GMT 2024","3337","","","","","","Validate Council Output [ValeofWhiteHorseCouncil]",""
"passed","Fri Aug 23 00:24:34 GMT 2024","Fri Aug 23 00:24:36 GMT 2024","1758","","","","","","Validate Council Output [WealdenDistrictCouncil]",""
"failed","Fri Aug 23 00:12:55 GMT 2024","Fri Aug 23 00:12:57 GMT 2024","2283","","","","","","Validate Council Output [ManchesterCityCouncil]",""
"passed","Fri Aug 23 00:24:34 GMT 2024","Fri Aug 23 00:24:36 GMT 2024","1952","","","","","","Validate Council Output [WelhatCouncil]",""
"failed","Fri Aug 23 00:24:22 GMT 2024","Fri Aug 23 00:24:33 GMT 2024","11323","","","","","","Validate Council Output [UttlesfordDistrictCouncil]",""
"passed","Fri Aug 23 00:12:48 GMT 2024","Fri Aug 23 00:13:09 GMT 2024","21377","","","","","","Validate Council Output [KingstonUponThamesCouncil]",""
"failed","Fri Aug 23 00:08:38 GMT 2024","Fri Aug 23 00:08:39 GMT 2024","913","","","","","","Validate Council Output [EastDevonDC]",""
"failed","Fri Aug 23 00:13:02 GMT 2024","Fri Aug 23 00:13:59 GMT 2024","57273","","","","","","Validate Council Output [EastSuffolkCouncil]",""
"passed","Fri Aug 23 00:18:33 GMT 2024","Fri Aug 23 00:18:35 GMT 2024","1832","","","","","","Validate Council Output [RochfordCouncil]",""
"failed","Fri Aug 23 00:22:04 GMT 2024","Fri Aug 23 00:24:19 GMT 2024","135129","","","","","","Validate Council Output [TamesideMBCouncil]",""
"passed","Fri Aug 23 00:24:53 GMT 2024","Fri Aug 23 00:25:02 GMT 2024","8894","","","","","","Validate Council Output [WokingBoroughCouncil]",""
"passed","Fri Aug 23 00:21:37 GMT 2024","Fri Aug 23 00:21:49 GMT 2024","11442","","","","","","Validate Council Output [NorthNorfolkDistrictCouncil]",""
"passed","Fri Aug 23 00:01:56 GMT 2024","Fri Aug 23 00:02:00 GMT 2024","4638","","","","","","Validate Council Output [BirminghamCityCouncil]",""
"passed","Fri Aug 23 00:21:33 GMT 2024","Fri Aug 23 00:21:37 GMT 2024","3986","","","","","","Validate Council Output [NottinghamCityCouncil]",""
"failed","Fri Aug 23 00:25:08 GMT 2024","Fri Aug 23 00:25:19 GMT 2024","11161","","","","","","Validate Council Output [WestSuffolkCouncil]",""
