"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 31 00:28:10 GMT 2024","Fri May 31 00:28:13 GMT 2024","3658","","","","","","Validate Council Output [CardiffCouncil]",""
"passed","Fri May 31 00:42:35 GMT 2024","Fri May 31 00:42:36 GMT 2024","830","","","","","","Validate Council Output [TelfordAndWrekinCouncil]",""
"passed","Fri May 31 00:28:35 GMT 2024","Fri May 31 00:28:37 GMT 2024","2095","","","","","","Validate Council Output [DoverDistrictCouncil]",""
"passed","Fri May 31 00:40:02 GMT 2024","Fri May 31 00:40:04 GMT 2024","1851","","","","","","Validate Council Output [SolihullCouncil]",""
"passed","Fri May 31 00:34:29 GMT 2024","Fri May 31 00:34:32 GMT 2024","2783","","","","","","Validate Council Output [DurhamCouncil]",""
"failed","Fri May 31 00:28:16 GMT 2024","Fri May 31 00:34:26 GMT 2024","369449","","","","","","Validate Council Output [ChelmsfordCityCouncil]",""
"passed","Fri May 31 00:36:26 GMT 2024","Fri May 31 00:36:48 GMT 2024","21939","","","","","","Validate Council Output [NewcastleCityCouncil]",""
"passed","Fri May 31 00:40:18 GMT 2024","Fri May 31 00:40:19 GMT 2024","1442","","","","","","Validate Council Output [StratfordUponAvonCouncil]",""
"failed","Fri May 31 00:40:26 GMT 2024","Fri May 31 00:42:41 GMT 2024","135126","","","","","","Validate Council Output [TamesideMBCouncil]",""
"passed","Fri May 31 00:28:25 GMT 2024","Fri May 31 00:28:26 GMT 2024","1180","","","","","","Validate Council Output [BarnsleyMBCouncil]",""
"failed","Fri May 31 00:28:00 GMT 2024","Fri May 31 00:28:25 GMT 2024","24757","","","","","","Validate Council Output [BarnetCouncil]",""
"passed","Fri May 31 00:34:32 GMT 2024","Fri May 31 00:34:33 GMT 2024","1180","","","","","","Validate Council Output [EastCambridgeshireCouncil]",""
"failed","Fri May 31 00:36:14 GMT 2024","Fri May 31 00:36:15 GMT 2024","1614","","","","","","Validate Council Output [MiltonKeynesCityCouncil]",""
"passed","Fri May 31 00:39:53 GMT 2024","Fri May 31 00:40:18 GMT 2024","24128","","","","","","Validate Council Output [ReigateAndBansteadBoroughCouncil]",""
"passed","Fri May 31 00:36:59 GMT 2024","Fri May 31 00:37:28 GMT 2024","29028","","","","","","Validate Council Output [PortsmouthCityCouncil]",""
"failed","Fri May 31 00:27:20 GMT 2024","Fri May 31 00:27:55 GMT 2024","34730","","","","","","Validate Council Output [BexleyCouncil]",""
"passed","Fri May 31 00:43:14 GMT 2024","Fri May 31 00:43:14 GMT 2024","503","","","","","","Validate Council Output [YorkCouncil]",""
"passed","Fri May 31 00:42:43 GMT 2024","Fri May 31 00:42:45 GMT 2024","1264","","","","","","Validate Council Output [TorbayCouncil]",""
"passed","Fri May 31 00:28:30 GMT 2024","Fri May 31 00:28:39 GMT 2024","9671","","","","","","Validate Council Output [BrightonandHoveCityCouncil]",""
"passed","Fri May 31 00:35:59 GMT 2024","Fri May 31 00:36:01 GMT 2024","2338","","","","","","Validate Council Output [HarrogateBoroughCouncil]",""
"failed","Fri May 31 00:28:29 GMT 2024","Fri May 31 00:28:29 GMT 2024","4","","","","","","Validate Council Output [BracknellForestCouncil]",""
"passed","Fri May 31 00:37:15 GMT 2024","Fri May 31 00:37:22 GMT 2024","6131","","","","","","Validate Council Output [NorthKestevenDistrictCouncil]",""
"passed","Fri May 31 00:36:16 GMT 2024","Fri May 31 00:36:16 GMT 2024","808","","","","","","Validate Council Output [MoleValleyDistrictCouncil]",""
"passed","Fri May 31 00:28:35 GMT 2024","Fri May 31 00:28:37 GMT 2024","1456","","","","","","Validate Council Output [BedfordshireCouncil]",""
"passed","Fri May 31 00:28:38 GMT 2024","Fri May 31 00:28:47 GMT 2024","8938","","","","","","Validate Council Output [KingstonUponThamesCouncil]",""
"failed","Fri May 31 00:35:38 GMT 2024","Fri May 31 00:36:16 GMT 2024","38054","","","","","","Validate Council Output [EastRidingCouncil]",""
