"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 01 12:21:52 GMT 2024","Mon Jan 01 12:22:02 GMT 2024","10202","","","","","","Validate Council Output [WestSuffolkCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 01 12:20:19 GMT 2024","Mon Jan 01 12:20:20 GMT 2024","1529","","","","","","Validate Council Output [NorthTynesideCouncil-None-None]",""
"passed","Mon Jan 01 12:20:05 GMT 2024","Mon Jan 01 12:20:19 GMT 2024","14645","","","","","","Validate Council Output [NewcastleCityCouncil-None-None]",""
"passed","Mon Jan 01 12:18:55 GMT 2024","Mon Jan 01 12:18:56 GMT 2024","732","","","","","","Validate Council Output [LisburnCastlereaghCityCouncil-None-None]",""
"failed","Mon Jan 01 12:20:25 GMT 2024","Mon Jan 01 12:20:29 GMT 2024","3730","","","","","","Validate Council Output [NorthWestLeicestershire-http://selenium:4444-local]",""
"passed","Mon Jan 01 12:18:15 GMT 2024","Mon Jan 01 12:18:16 GMT 2024","1215","","","","","","Validate Council Output [CannockChaseDistrictCouncil-None-None]",""
"failed","Mon Jan 01 12:21:36 GMT 2024","Mon Jan 01 12:23:46 GMT 2024","130035","","","","","","Validate Council Output [TamesideMBCouncil-None-None]",""
"passed","Mon Jan 01 12:18:15 GMT 2024","Mon Jan 01 12:18:17 GMT 2024","1381","","","","","","Validate Council Output [DoncasterCouncil-None-None]",""
"passed","Mon Jan 01 12:21:27 GMT 2024","Mon Jan 01 12:21:27 GMT 2024","678","","","","","","Validate Council Output [SouthLanarkshireCouncil-None-None]",""
"passed","Mon Jan 01 12:18:08 GMT 2024","Mon Jan 01 12:18:09 GMT 2024","1244","","","","","","Validate Council Output [CrawleyBoroughCouncil-None-None]",""
"passed","Mon Jan 01 12:18:01 GMT 2024","Mon Jan 01 12:18:10 GMT 2024","9089","","","","","","Validate Council Output [BlackburnCouncil-http://selenium:4444-local]",""
"failed","Mon Jan 01 12:18:40 GMT 2024","Mon Jan 01 12:18:40 GMT 2024","583","","","","","","Validate Council Output [KingstonUponThamesCouncil-None-None]",""
"failed","Mon Jan 01 12:21:51 GMT 2024","Mon Jan 01 12:21:51 GMT 2024","78","","","","","","Validate Council Output [WelhatCouncil-None-None]",""
"failed","Mon Jan 01 12:21:35 GMT 2024","Mon Jan 01 12:21:36 GMT 2024","701","","","","","","Validate Council Output [SwaleBoroughCouncil-None-None]",""
"failed","Mon Jan 01 12:18:59 GMT 2024","Mon Jan 01 12:19:00 GMT 2024","906","","","","","","Validate Council Output [MalvernHillsDC-None-None]",""
"passed","Mon Jan 01 12:19:26 GMT 2024","Mon Jan 01 12:19:33 GMT 2024","6748","","","","","","Validate Council Output [GatesheadCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 01 12:21:43 GMT 2024","Mon Jan 01 12:21:51 GMT 2024","7737","","","","","","Validate Council Output [WakefieldCityCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 01 12:21:21 GMT 2024","Mon Jan 01 12:21:24 GMT 2024","3259","","","","","","Validate Council Output [RushcliffeBoroughCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 01 12:19:34 GMT 2024","Mon Jan 01 12:19:36 GMT 2024","2031","","","","","","Validate Council Output [GlasgowCityCouncil-None-None]",""
"passed","Mon Jan 01 12:18:45 GMT 2024","Mon Jan 01 12:18:55 GMT 2024","9840","","","","","","Validate Council Output [LeedsCityCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 01 12:21:40 GMT 2024","Mon Jan 01 12:21:42 GMT 2024","2165","","","","","","Validate Council Output [StockportBoroughCouncil-None-None]",""
"passed","Mon Jan 01 12:19:24 GMT 2024","Mon Jan 01 12:19:28 GMT 2024","3509","","","","","","Validate Council Output [DurhamCouncil-None-None]",""
"failed","Mon Jan 01 12:18:09 GMT 2024","Mon Jan 01 12:19:24 GMT 2024","74781","","","","","","Validate Council Output [BexleyCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 01 12:21:07 GMT 2024","Mon Jan 01 12:21:13 GMT 2024","6527","","","","","","Validate Council Output [RhonddaCynonTaffCouncil-None-None]",""
"passed","Mon Jan 01 12:21:09 GMT 2024","Mon Jan 01 12:21:21 GMT 2024","11393","","","","","","Validate Council Output [LondonBoroughRedbridge-http://selenium:4444-local]",""
"passed","Mon Jan 01 12:20:44 GMT 2024","Mon Jan 01 12:21:02 GMT 2024","18180","","","","","","Validate Council Output [EastSuffolkCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 01 12:22:05 GMT 2024","Mon Jan 01 12:22:10 GMT 2024","4804","","","","","","Validate Council Output [WokingBoroughCouncil-None-None]",""
"passed","Mon Jan 01 12:18:03 GMT 2024","Mon Jan 01 12:18:08 GMT 2024","4581","","","","","","Validate Council Output [ConwyCountyBorough-None-None]",""
"passed","Mon Jan 01 12:18:03 GMT 2024","Mon Jan 01 12:18:15 GMT 2024","11641","","","","","","Validate Council Output [CalderdaleCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 01 12:20:29 GMT 2024","Mon Jan 01 12:20:30 GMT 2024","1290","","","","","","Validate Council Output [OldhamCouncil-None-None]",""
"passed","Mon Jan 01 12:19:51 GMT 2024","Mon Jan 01 12:19:53 GMT 2024","2669","","","","","","Validate Council Output [HarrogateBoroughCouncil-None-None]",""
"passed","Mon Jan 01 12:21:45 GMT 2024","Mon Jan 01 12:21:49 GMT 2024","3993","","","","","","Validate Council Output [WaverleyBoroughCouncil-None-None]",""
"passed","Mon Jan 01 12:21:23 GMT 2024","Mon Jan 01 12:21:29 GMT 2024","5808","","","","","","Validate Council Output [SevenoaksDistrictCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 01 12:18:11 GMT 2024","Mon Jan 01 12:18:15 GMT 2024","4478","","","","","","Validate Council Output [DerbyshireDalesDistrictCouncil-http://selenium:4444-local]",""
"failed","Mon Jan 01 12:21:07 GMT 2024","Mon Jan 01 12:21:09 GMT 2024","2736","","","","","","Validate Council Output [LondonBoroughHounslow-None-None]",""
"passed","Mon Jan 01 12:18:07 GMT 2024","Mon Jan 01 12:18:09 GMT 2024","2763","","","","","","Validate Council Output [BedfordshireCouncil-None-None]",""
"passed","Mon Jan 01 12:18:05 GMT 2024","Mon Jan 01 12:18:07 GMT 2024","1296","","","","","","Validate Council Output [BCPCouncil-None-None]",""
"failed","Mon Jan 01 12:21:33 GMT 2024","Mon Jan 01 12:21:34 GMT 2024","486","","","","","","Validate Council Output [StokeOnTrentCityCouncil-None-None]",""
"passed","Mon Jan 01 12:22:13 GMT 2024","Mon Jan 01 12:22:13 GMT 2024","511","","","","","","Validate Council Output [YorkCouncil-None-None]",""
"passed","Mon Jan 01 12:21:52 GMT 2024","Mon Jan 01 12:21:59 GMT 2024","7043","","","","","","Validate Council Output [WestLothianCouncil-http://selenium:4444-local]",""
"passed","Mon Jan 01 12:18:27 GMT 2024","Mon Jan 01 12:18:28 GMT 2024","1447","","","","","","Validate Council Output [CharnwoodBoroughCouncil-None-None]",""
