"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 31 00:32:01 GMT 2024","Sun Mar 31 00:32:05 GMT 2024","3425","","","","","","Validate Council Output [RugbyBoroughCouncil-None-None]",""
"failed","Sun Mar 31 00:32:46 GMT 2024","Sun Mar 31 00:32:49 GMT 2024","3604","","","","","","Validate Council Output [ValeofWhiteHorseCouncil-None-None]",""
"passed","Sun Mar 31 00:30:25 GMT 2024","Sun Mar 31 00:30:46 GMT 2024","20474","","","","","","Validate Council Output [BuckinghamshireCouncil-http://selenium:4444-local]",""
"passed","Sun Mar 31 00:32:22 GMT 2024","Sun Mar 31 00:32:24 GMT 2024","1599","","","","","","Validate Council Output [SouthAyrshireCouncil-None-None]",""
"failed","Sun Mar 31 00:30:31 GMT 2024","Sun Mar 31 00:30:39 GMT 2024","7457","","","","","","Validate Council Output [KirkleesCouncil-http://selenium:4444-local]",""
"passed","Sun Mar 31 00:31:53 GMT 2024","Sun Mar 31 00:32:10 GMT 2024","16743","","","","","","Validate Council Output [MidAndEastAntrimBoroughCouncil-http://selenium:4444-local]",""
"passed","Sun Mar 31 00:31:35 GMT 2024","Sun Mar 31 00:31:38 GMT 2024","3195","","","","","","Validate Council Output [NewportCityCouncil-None-None]",""
"failed","Sun Mar 31 00:31:09 GMT 2024","Sun Mar 31 00:31:09 GMT 2024","2","","","","","","Validate Council Output [NorthEastLincs-None-None]",""
"passed","Sun Mar 31 00:30:46 GMT 2024","Sun Mar 31 00:30:48 GMT 2024","1815","","","","","","Validate Council Output [BuryCouncil-None-None]",""
"passed","Sun Mar 31 00:33:15 GMT 2024","Sun Mar 31 00:33:17 GMT 2024","2831","","","","","","Validate Council Output [WindsorAndMaidenheadCouncil-None-None]",""
"passed","Sun Mar 31 00:32:59 GMT 2024","Sun Mar 31 00:33:00 GMT 2024","1684","","","","","","Validate Council Output [WealdenDistrictCouncil-None-None]",""
"passed","Sun Mar 31 00:29:48 GMT 2024","Sun Mar 31 00:29:49 GMT 2024","605","","","","","","Validate Council Output [EastDevonDC-None-None]",""
"passed","Sun Mar 31 00:34:16 GMT 2024","Sun Mar 31 00:34:36 GMT 2024","20473","","","","","","Validate Council Output [ReigateAndBansteadBoroughCouncil-http://selenium:4444-local]",""
"passed","Sun Mar 31 00:29:46 GMT 2024","Sun Mar 31 00:30:38 GMT 2024","52222","","","","","","Validate Council Output [ChelmsfordCityCouncil-http://selenium:4444-local]",""
"passed","Sun Mar 31 00:32:40 GMT 2024","Sun Mar 31 00:32:49 GMT 2024","9696","","","","","","Validate Council Output [TorbayCouncil-None-None]",""
"passed","Sun Mar 31 00:33:09 GMT 2024","Sun Mar 31 00:33:10 GMT 2024","954","","","","","","Validate Council Output [WestLindseyDistrictCouncil-None-None]",""
"failed","Sun Mar 31 00:32:17 GMT 2024","Sun Mar 31 00:32:18 GMT 2024","633","","","","","","Validate Council Output [SouthTynesideCouncil-None-None]",""
"passed","Sun Mar 31 00:29:41 GMT 2024","Sun Mar 31 00:29:42 GMT 2024","1033","","","","","","Validate Council Output [DorsetCouncil-None-None]",""
"passed","Sun Mar 31 00:29:50 GMT 2024","Sun Mar 31 00:29:54 GMT 2024","4539","","","","","","Validate Council Output [BoltonCouncil-http://selenium:4444-local]",""
"passed","Sun Mar 31 00:29:42 GMT 2024","Sun Mar 31 00:29:44 GMT 2024","2022","","","","","","Validate Council Output [DoverDistrictCouncil-None-None]",""
"passed","Sun Mar 31 00:32:18 GMT 2024","Sun Mar 31 00:32:33 GMT 2024","14141","","","","","","Validate Council Output [StaffordshireMoorlandsDistrictCouncil-http://selenium:4444-local]",""
"passed","Sun Mar 31 00:34:16 GMT 2024","Sun Mar 31 00:34:16 GMT 2024","488","","","","","","Validate Council Output [ReadingBoroughCouncil-None-None]",""
"passed","Sun Mar 31 00:31:06 GMT 2024","Sun Mar 31 00:31:15 GMT 2024","9512","","","","","","Validate Council Output [LondonBoroughRedbridge-http://selenium:4444-local]",""
"passed","Sun Mar 31 00:31:45 GMT 2024","Sun Mar 31 00:31:49 GMT 2024","4571","","","","","","Validate Council Output [NorthumberlandCouncil-http://selenium:4444-local]",""
"passed","Sun Mar 31 00:32:08 GMT 2024","Sun Mar 31 00:32:11 GMT 2024","2479","","","","","","Validate Council Output [SouthCambridgeshireCouncil-None-None]",""
"passed","Sun Mar 31 00:30:49 GMT 2024","Sun Mar 31 00:31:06 GMT 2024","17389","","","","","","Validate Council Output [LondonBoroughHounslow-None-None]",""
"passed","Sun Mar 31 00:29:45 GMT 2024","Sun Mar 31 00:29:46 GMT 2024","1697","","","","","","Validate Council Output [BedfordBoroughCouncil-None-None]",""
"passed","Sun Mar 31 00:31:27 GMT 2024","Sun Mar 31 00:31:31 GMT 2024","4129","","","","","","Validate Council Output [ManchesterCityCouncil-None-None]",""
"passed","Sun Mar 31 00:31:32 GMT 2024","Sun Mar 31 00:31:35 GMT 2024","3071","","","","","","Validate Council Output [NewhamCouncil-None-None]",""
"passed","Sun Mar 31 00:30:44 GMT 2024","Sun Mar 31 00:30:57 GMT 2024","13661","","","","","","Validate Council Output [LeedsCityCouncil-http://selenium:4444-local]",""
"passed","Sun Mar 31 00:30:55 GMT 2024","Sun Mar 31 00:31:03 GMT 2024","8903","","","","","","Validate Council Output [ForestOfDeanDistrictCouncil-http://selenium:4444-local]",""
"passed","Sun Mar 31 00:29:12 GMT 2024","Sun Mar 31 00:29:13 GMT 2024","613","","","","","","Validate Council Output [AdurAndWorthingCouncils-None-None]",""
"passed","Sun Mar 31 00:32:11 GMT 2024","Sun Mar 31 00:32:12 GMT 2024","581","","","","","","Validate Council Output [SouthGloucestershireCouncil-None-None]",""
"failed","Sun Mar 31 00:32:18 GMT 2024","Sun Mar 31 00:32:18 GMT 2024","329","","","","","","Validate Council Output [StAlbansCityAndDistrictCouncil-None-None]",""
"failed","Sun Mar 31 00:33:00 GMT 2024","Sun Mar 31 00:33:00 GMT 2024","154","","","","","","Validate Council Output [WelhatCouncil-None-None]",""
"failed","Sun Mar 31 00:31:03 GMT 2024","Sun Mar 31 00:31:37 GMT 2024","33359","","","","","","Validate Council Output [GatesheadCouncil-http://selenium:4444-local]",""
"passed","Sun Mar 31 00:31:31 GMT 2024","Sun Mar 31 00:31:32 GMT 2024","725","","","","","","Validate Council Output [MansfieldDistrictCouncil-None-None]",""
"failed","Sun Mar 31 00:30:48 GMT 2024","Sun Mar 31 00:30:49 GMT 2024","676","","","","","","Validate Council Output [MidSussexDistrictCouncil-None-None]",""
"passed","Sun Mar 31 00:31:22 GMT 2024","Sun Mar 31 00:31:28 GMT 2024","6079","","","","","","Validate Council Output [NorthLincolnshireCouncil-None-None]",""
"failed","Sun Mar 31 00:29:17 GMT 2024","Sun Mar 31 00:29:18 GMT 2024","1315","","","","","","Validate Council Output [CroydonCouncil-None-None]",""
"passed","Sun Mar 31 00:30:58 GMT 2024","Sun Mar 31 00:31:09 GMT 2024","10695","","","","","","Validate Council Output [NorthEastDerbyshireDistrictCouncil-http://selenium:4444-local]",""
"passed","Sun Mar 31 00:29:48 GMT 2024","Sun Mar 31 00:29:50 GMT 2024","1314","","","","","","Validate Council Output [BlackburnCouncil-http://selenium:4444-local]",""
"passed","Sun Mar 31 00:32:12 GMT 2024","Sun Mar 31 00:32:14 GMT 2024","1458","","","","","","Validate Council Output [SolihullCouncil-None-None]",""
"passed","Sun Mar 31 00:32:49 GMT 2024","Sun Mar 31 00:32:57 GMT 2024","8229","","","","","","Validate Council Output [TorridgeDistrictCouncil-None-None]",""
"passed","Sun Mar 31 00:31:49 GMT 2024","Sun Mar 31 00:31:54 GMT 2024","4719","","","","","","Validate Council Output [NorthWestLeicestershire-http://selenium:4444-local]",""
"passed","Sun Mar 31 00:30:01 GMT 2024","Sun Mar 31 00:30:03 GMT 2024","2630","","","","","","Validate Council Output [HarrogateBoroughCouncil-None-None]",""
"passed","Sun Mar 31 00:33:00 GMT 2024","Sun Mar 31 00:33:10 GMT 2024","9631","","","","","","Validate Council Output [WestLothianCouncil-http://selenium:4444-local]",""
"passed","Sun Mar 31 00:29:58 GMT 2024","Sun Mar 31 00:30:01 GMT 2024","2432","","","","","","Validate Council Output [HaringeyCouncil-None-None]",""
"passed","Sun Mar 31 00:32:05 GMT 2024","Sun Mar 31 00:32:08 GMT 2024","3777","","","","","","Validate Council Output [RushcliffeBoroughCouncil-http://selenium:4444-local]",""
"passed","Sun Mar 31 00:29:39 GMT 2024","Sun Mar 31 00:29:43 GMT 2024","3717","","","","","","Validate Council Output [BasingstokeCouncil-None-None]",""
"passed","Sun Mar 31 00:30:48 GMT 2024","Sun Mar 31 00:30:49 GMT 2024","1011","","","","","","Validate Council Output [LiverpoolCityCouncil-None-None]",""
"passed","Sun Mar 31 00:30:42 GMT 2024","Sun Mar 31 00:30:48 GMT 2024","5203","","","","","","Validate Council Output [ChorleyCouncil-http://selenium:4444-local]",""
"passed","Sun Mar 31 00:29:12 GMT 2024","Sun Mar 31 00:29:48 GMT 2024","36352","","","","","","Validate Council Output [BexleyCouncil-http://selenium:4444-local]",""
"passed","Sun Mar 31 00:29:12 GMT 2024","Sun Mar 31 00:29:17 GMT 2024","5184","","","","","","Validate Council Output [CrawleyBoroughCouncil-None-None]",""
"passed","Sun Mar 31 00:30:39 GMT 2024","Sun Mar 31 00:30:44 GMT 2024","4757","","","","","","Validate Council Output [LancasterCityCouncil-None-None]",""
