"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 15 01:17:32 GMT 2023","Wed Nov 15 01:17:34 GMT 2023","1411","","","","","","Validate Council Output [DoncasterCouncil-None-None]",""
"failed","Wed Nov 15 01:17:35 GMT 2023","Wed Nov 15 01:17:52 GMT 2023","17346","","","","","","Validate Council Output [KingstonUponThamesCouncil-None-None]",""
"passed","Wed Nov 15 01:18:02 GMT 2023","Wed Nov 15 01:20:01 GMT 2023","118955","","","","","","Validate Council Output [LeedsCityCouncil-None-None]",""
"passed","Wed Nov 15 01:17:18 GMT 2023","Wed Nov 15 01:17:35 GMT 2023","16443","","","","","","Validate Council Output [BroxtoweBoroughCouncil-http://selenium:4444-local]",""
"failed","Wed Nov 15 01:17:25 GMT 2023","Wed Nov 15 01:17:35 GMT 2023","9438","","","","","","Validate Council Output [ChelmsfordCityCouncil-None-None]",""
"passed","Wed Nov 15 01:17:32 GMT 2023","Wed Nov 15 01:17:37 GMT 2023","4888","","","","","","Validate Council Output [EastRidingCouncil-None-None]",""
"passed","Wed Nov 15 01:17:50 GMT 2023","Wed Nov 15 01:17:52 GMT 2023","2043","","","","","","Validate Council Output [BuryCouncil-None-None]",""
"passed","Wed Nov 15 01:18:58 GMT 2023","Wed Nov 15 01:19:07 GMT 2023","8303","","","","","","Validate Council Output [SomersetCouncil-None-None]",""
"passed","Wed Nov 15 01:17:12 GMT 2023","Wed Nov 15 01:17:17 GMT 2023","5335","","","","","","Validate Council Output [BristolCityCouncil-None-None]",""
"passed","Wed Nov 15 01:18:56 GMT 2023","Wed Nov 15 01:18:59 GMT 2023","3076","","","","","","Validate Council Output [ManchesterCityCouncil-None-None]",""
"passed","Wed Nov 15 01:17:17 GMT 2023","Wed Nov 15 01:17:22 GMT 2023","5054","","","","","","Validate Council Output [CroydonCouncil-None-None]",""
"passed","Wed Nov 15 01:21:31 GMT 2023","Wed Nov 15 01:21:34 GMT 2023","2830","","","","","","Validate Council Output [TorridgeDistrictCouncil-None-None]",""
"passed","Wed Nov 15 01:18:04 GMT 2023","Wed Nov 15 01:18:05 GMT 2023","793","","","","","","Validate Council Output [NewarkAndSherwoodDC-None-None]",""
"passed","Wed Nov 15 01:20:03 GMT 2023","Wed Nov 15 01:20:07 GMT 2023","3692","","","","","","Validate Council Output [WiganBoroughCouncil-None-None]",""
"failed","Wed Nov 15 01:17:35 GMT 2023","Wed Nov 15 01:17:36 GMT 2023","663","","","","","","Validate Council Output [FenlandDistrictCouncil-None-None]",""
"passed","Wed Nov 15 01:17:57 GMT 2023","Wed Nov 15 01:17:59 GMT 2023","2018","","","","","","Validate Council Output [ErewashBoroughCouncil-None-None]",""
"passed","Wed Nov 15 01:20:05 GMT 2023","Wed Nov 15 01:20:08 GMT 2023","2843","","","","","","Validate Council Output [WindsorAndMaidenheadCouncil-None-None]",""
"passed","Wed Nov 15 01:17:08 GMT 2023","Wed Nov 15 01:17:12 GMT 2023","3665","","","","","","Validate Council Output [AylesburyValeCouncil-None-None]",""
"failed","Wed Nov 15 01:19:39 GMT 2023","Wed Nov 15 01:19:50 GMT 2023","11248","","","","","","Validate Council Output [WarwickDistrictCouncil-None-None]",""
"passed","Wed Nov 15 01:18:45 GMT 2023","Wed Nov 15 01:18:47 GMT 2023","2641","","","","","","Validate Council Output [RhonddaCynonTaffCouncil-None-None]",""
"failed","Wed Nov 15 01:17:17 GMT 2023","Wed Nov 15 01:17:18 GMT 2023","1280","","","","","","Validate Council Output [BromleyBoroughCouncil-None-None]",""
"passed","Wed Nov 15 01:19:50 GMT 2023","Wed Nov 15 01:19:54 GMT 2023","4139","","","","","","Validate Council Output [WaverleyBoroughCouncil-None-None]",""
"failed","Wed Nov 15 01:19:06 GMT 2023","Wed Nov 15 01:19:07 GMT 2023","605","","","","","","Validate Council Output [SouthTynesideCouncil-None-None]",""
"passed","Wed Nov 15 01:19:14 GMT 2023","Wed Nov 15 01:19:16 GMT 2023","1815","","","","","","Validate Council Output [StratfordUponAvonCouncil-None-None]",""
"failed","Wed Nov 15 01:20:01 GMT 2023","Wed Nov 15 01:20:01 GMT 2023","37","","","","","","Validate Council Output [LiverpoolCityCouncil-None-None]",""
"passed","Wed Nov 15 01:17:19 GMT 2023","Wed Nov 15 01:17:20 GMT 2023","648","","","","","","Validate Council Output [EastDevonDC-None-None]",""
"passed","Wed Nov 15 01:18:52 GMT 2023","Wed Nov 15 01:18:55 GMT 2023","2308","","","","","","Validate Council Output [MaldonDistrictCouncil-None-None]",""
"passed","Wed Nov 15 01:19:01 GMT 2023","Wed Nov 15 01:19:01 GMT 2023","595","","","","","","Validate Council Output [SouthLanarkshireCouncil-None-None]",""
"passed","Wed Nov 15 01:17:24 GMT 2023","Wed Nov 15 01:17:25 GMT 2023","1605","","","","","","Validate Council Output [CharnwoodBoroughCouncil-None-None]",""
"passed","Wed Nov 15 01:19:56 GMT 2023","Wed Nov 15 01:20:03 GMT 2023","7195","","","","","","Validate Council Output [WestLothianCouncil-http://selenium:4444-local]",""
"failed","Wed Nov 15 01:17:14 GMT 2023","Wed Nov 15 01:17:14 GMT 2023","389","","","","","","Validate Council Output [BexleyCouncil-None-None]",""
"passed","Wed Nov 15 01:19:10 GMT 2023","Wed Nov 15 01:19:14 GMT 2023","4247","","","","","","Validate Council Output [StockportBoroughCouncil-None-None]",""
"passed","Wed Nov 15 01:18:37 GMT 2023","Wed Nov 15 01:18:38 GMT 2023","886","","","","","","Validate Council Output [NorthNorthamptonshireCouncil-None-None]",""
"passed","Wed Nov 15 01:18:54 GMT 2023","Wed Nov 15 01:18:56 GMT 2023","1748","","","","","","Validate Council Output [SalfordCityCouncil-None-None]",""
"passed","Wed Nov 15 01:19:07 GMT 2023","Wed Nov 15 01:19:08 GMT 2023","1396","","","","","","Validate Council Output [SouthAyrshireCouncil-None-None]",""
"passed","Wed Nov 15 01:20:07 GMT 2023","Wed Nov 15 01:20:13 GMT 2023","5851","","","","","","Validate Council Output [WokingBoroughCouncil-None-None]",""
"passed","Wed Nov 15 01:20:25 GMT 2023","Wed Nov 15 01:20:46 GMT 2023","20526","","","","","","Validate Council Output [ReigateAndBansteadBoroughCouncil-http://selenium:4444-local]",""
"passed","Wed Nov 15 01:18:49 GMT 2023","Wed Nov 15 01:18:53 GMT 2023","4293","","","","","","Validate Council Output [RushcliffeBoroughCouncil-http://selenium:4444-local]",""
"failed","Wed Nov 15 01:17:08 GMT 2023","Wed Nov 15 01:17:12 GMT 2023","3307","","","","","","Validate Council Output [BoltonCouncil-None-None]",""
"passed","Wed Nov 15 01:20:08 GMT 2023","Wed Nov 15 01:20:08 GMT 2023","489","","","","","","Validate Council Output [YorkCouncil-None-None]",""
"passed","Wed Nov 15 01:19:29 GMT 2023","Wed Nov 15 01:19:39 GMT 2023","10039","","","","","","Validate Council Output [WakefieldCityCouncil-http://selenium:4444-local]",""
"passed","Wed Nov 15 01:17:22 GMT 2023","Wed Nov 15 01:17:32 GMT 2023","10117","","","","","","Validate Council Output [DerbyshireDalesDistrictCouncil-http://selenium:4444-local]",""
"passed","Wed Nov 15 01:19:19 GMT 2023","Wed Nov 15 01:19:22 GMT 2023","3119","","","","","","Validate Council Output [TorbayCouncil-None-None]",""
"failed","Wed Nov 15 01:17:35 GMT 2023","Wed Nov 15 01:17:50 GMT 2023","14842","","","","","","Validate Council Output [BuckinghamshireCouncil-http://selenium:4444-local]",""
"passed","Wed Nov 15 01:17:13 GMT 2023","Wed Nov 15 01:17:13 GMT 2023","664","","","","","","Validate Council Output [BathAndNorthEastSomersetCouncil-None-None]",""
"failed","Wed Nov 15 01:19:01 GMT 2023","Wed Nov 15 01:19:04 GMT 2023","2493","","","","","","Validate Council Output [SouthNorfolkCouncil-None-None]",""
"passed","Wed Nov 15 01:17:49 GMT 2023","Wed Nov 15 01:17:52 GMT 2023","2079","","","","","","Validate Council Output [HarrogateBoroughCouncil-None-None]",""
"passed","Wed Nov 15 01:18:40 GMT 2023","Wed Nov 15 01:18:45 GMT 2023","5162","","","","","","Validate Council Output [NorthTynesideCouncil-None-None]",""
"passed","Wed Nov 15 01:17:36 GMT 2023","Wed Nov 15 01:17:46 GMT 2023","10749","","","","","","Validate Council Output [GatesheadCouncil-http://selenium:4444-local]",""
"passed","Wed Nov 15 01:18:31 GMT 2023","Wed Nov 15 01:18:37 GMT 2023","6079","","","","","","Validate Council Output [NorthNorfolkDistrictCouncil-http://selenium:4444-local]",""
"passed","Wed Nov 15 01:19:54 GMT 2023","Wed Nov 15 01:19:56 GMT 2023","1433","","","","","","Validate Council Output [WealdenDistrictCouncil-None-None]",""
"passed","Wed Nov 15 01:17:15 GMT 2023","Wed Nov 15 01:17:18 GMT 2023","2868","","","","","","Validate Council Output [DurhamCouncil-None-None]",""
"passed","Wed Nov 15 01:17:13 GMT 2023","Wed Nov 15 01:17:14 GMT 2023","648","","","","","","Validate Council Output [BCPCouncil-None-None]",""
