"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 03 05:16:05 GMT 2023","Fri Nov 03 05:16:05 GMT 2023","594","","","","","","Validate Council Output [BasingstokeCouncil]",""
"failed","Fri Nov 03 05:17:35 GMT 2023","Fri Nov 03 05:17:36 GMT 2023","1197","","","","","","Validate Council Output [HuntingdonDistrictCouncil]",""
"passed","Fri Nov 03 05:17:26 GMT 2023","Fri Nov 03 05:17:28 GMT 2023","2230","","","","","","Validate Council Output [HarrogateBoroughCouncil]",""
"passed","Fri Nov 03 05:20:39 GMT 2023","Fri Nov 03 05:20:41 GMT 2023","1735","","","","","","Validate Council Output [WealdenDistrictCouncil]",""
"failed","Fri Nov 03 05:16:17 GMT 2023","Fri Nov 03 05:16:18 GMT 2023","917","","","","","","Validate Council Output [BromleyBoroughCouncil]",""
"passed","Fri Nov 03 05:20:31 GMT 2023","Fri Nov 03 05:20:33 GMT 2023","2104","","","","","","Validate Council Output [ValeofGlamorganCouncil]",""
"failed","Fri Nov 03 05:19:48 GMT 2023","Fri Nov 03 05:19:49 GMT 2023","648","","","","","","Validate Council Output [RushmoorCouncil]",""
"passed","Fri Nov 03 05:20:35 GMT 2023","Fri Nov 03 05:20:39 GMT 2023","4317","","","","","","Validate Council Output [WaverleyBoroughCouncil]",""
"passed","Fri Nov 03 05:16:36 GMT 2023","Fri Nov 03 05:16:39 GMT 2023","3334","","","","","","Validate Council Output [DurhamCouncil]",""
"passed","Fri Nov 03 05:19:38 GMT 2023","Fri Nov 03 05:19:40 GMT 2023","2314","","","","","","Validate Council Output [RhonddaCynonTaffCouncil]",""
"passed","Fri Nov 03 05:19:13 GMT 2023","Fri Nov 03 05:19:14 GMT 2023","1065","","","","","","Validate Council Output [MalvernHillsDC]",""
"passed","Fri Nov 03 05:16:39 GMT 2023","Fri Nov 03 05:16:41 GMT 2023","1565","","","","","","Validate Council Output [EastCambridgeshireCouncil]",""
"passed","Fri Nov 03 05:16:41 GMT 2023","Fri Nov 03 05:16:41 GMT 2023","628","","","","","","Validate Council Output [EastDevonDC]",""
"failed","Fri Nov 03 05:16:07 GMT 2023","Fri Nov 03 05:16:07 GMT 2023","405","","","","","","Validate Council Output [BexleyCouncil]",""
"passed","Fri Nov 03 05:20:33 GMT 2023","Fri Nov 03 05:20:35 GMT 2023","1413","","","","","","Validate Council Output [WarwickDistrictCouncil]",""
"passed","Fri Nov 03 05:18:00 GMT 2023","Fri Nov 03 05:18:01 GMT 2023","1585","","","","","","Validate Council Output [NorthTynesideCouncil]",""
"passed","Fri Nov 03 05:20:11 GMT 2023","Fri Nov 03 05:20:19 GMT 2023","7540","","","","","","Validate Council Output [StaffordshireMoorlandsDistrictCouncil]",""
"passed","Fri Nov 03 05:21:04 GMT 2023","Fri Nov 03 05:21:09 GMT 2023","5519","","","","","","Validate Council Output [WokingBoroughCouncil]",""
"failed","Fri Nov 03 05:19:24 GMT 2023","Fri Nov 03 05:19:24 GMT 2023","4","","","","","","Validate Council Output [MiltonKeynesCityCouncil]",""
"passed","Fri Nov 03 05:19:42 GMT 2023","Fri Nov 03 05:19:48 GMT 2023","6209","","","","","","Validate Council Output [RushcliffeBoroughCouncil]",""
"failed","Fri Nov 03 05:16:25 GMT 2023","Fri Nov 03 05:16:25 GMT 2023","283","","","","","","Validate Council Output [CheshireEastCouncil]",""
"failed","Fri Nov 03 05:17:36 GMT 2023","Fri Nov 03 05:17:37 GMT 2023","735","","","","","","Validate Council Output [KingstonUponThamesCouncil]",""
"passed","Fri Nov 03 05:16:25 GMT 2023","Fri Nov 03 05:16:26 GMT 2023","725","","","","","","Validate Council Output [ConwyCountyBorough]",""
"passed","Fri Nov 03 05:20:06 GMT 2023","Fri Nov 03 05:20:07 GMT 2023","1721","","","","","","Validate Council Output [SouthNorfolkCouncil]",""
"passed","Fri Nov 03 05:20:20 GMT 2023","Fri Nov 03 05:20:24 GMT 2023","4265","","","","","","Validate Council Output [StockportBoroughCouncil]",""
"failed","Fri Nov 03 05:20:10 GMT 2023","Fri Nov 03 05:20:11 GMT 2023","868","","","","","","Validate Council Output [SouthTynesideCouncil]",""
"passed","Fri Nov 03 05:16:52 GMT 2023","Fri Nov 03 05:19:08 GMT 2023","136114","","","","","","Validate Council Output [LeedsCityCouncil]",""
"failed","Fri Nov 03 05:20:29 GMT 2023","Fri Nov 03 05:20:30 GMT 2023","743","","","","","","Validate Council Output [SwaleBoroughCouncil]",""
"passed","Fri Nov 03 05:20:49 GMT 2023","Fri Nov 03 05:20:57 GMT 2023","8411","","","","","","Validate Council Output [WiganBoroughCouncil]",""
"passed","Fri Nov 03 05:19:49 GMT 2023","Fri Nov 03 05:19:51 GMT 2023","2063","","","","","","Validate Council Output [SalfordCityCouncil]",""
"passed","Fri Nov 03 05:16:09 GMT 2023","Fri Nov 03 05:16:10 GMT 2023","876","","","","","","Validate Council Output [CannockChaseDistrictCouncil]",""
"passed","Fri Nov 03 05:17:58 GMT 2023","Fri Nov 03 05:18:00 GMT 2023","1367","","","","","","Validate Council Output [NorthSomersetCouncil]",""
"passed","Fri Nov 03 05:19:53 GMT 2023","Fri Nov 03 05:20:01 GMT 2023","7808","","","","","","Validate Council Output [SomersetCouncil]",""
"passed","Fri Nov 03 05:20:05 GMT 2023","Fri Nov 03 05:20:06 GMT 2023","625","","","","","","Validate Council Output [SouthLanarkshireCouncil]",""
"passed","Fri Nov 03 05:16:29 GMT 2023","Fri Nov 03 05:16:34 GMT 2023","4973","","","","","","Validate Council Output [DerbyshireDalesDistrictCouncil]",""
"passed","Fri Nov 03 05:16:34 GMT 2023","Fri Nov 03 05:16:36 GMT 2023","1579","","","","","","Validate Council Output [DoncasterCouncil]",""
"passed","Fri Nov 03 05:19:30 GMT 2023","Fri Nov 03 05:19:38 GMT 2023","8251","","","","","","Validate Council Output [NewcastleCityCouncil]",""
"passed","Fri Nov 03 05:20:26 GMT 2023","Fri Nov 03 05:20:27 GMT 2023","1095","","","","","","Validate Council Output [TorbayCouncil]",""
"failed","Fri Nov 03 05:16:07 GMT 2023","Fri Nov 03 05:16:08 GMT 2023","426","","","","","","Validate Council Output [BlackburnCouncil]",""
"passed","Fri Nov 03 05:21:09 GMT 2023","Fri Nov 03 05:21:10 GMT 2023","677","","","","","","Validate Council Output [YorkCouncil]",""
"passed","Fri Nov 03 05:20:07 GMT 2023","Fri Nov 03 05:20:10 GMT 2023","3002","","","","","","Validate Council Output [SouthOxfordshireCouncil]",""
"passed","Fri Nov 03 05:20:27 GMT 2023","Fri Nov 03 05:20:29 GMT 2023","1645","","","","","","Validate Council Output [StratfordUponAvonCouncil]",""
"passed","Fri Nov 03 05:17:52 GMT 2023","Fri Nov 03 05:17:58 GMT 2023","5582","","","","","","Validate Council Output [NorthNorfolkDistrictCouncil]",""
"passed","Fri Nov 03 05:16:10 GMT 2023","Fri Nov 03 05:16:13 GMT 2023","3221","","","","","","Validate Council Output [CardiffCouncil]",""
"passed","Fri Nov 03 05:16:06 GMT 2023","Fri Nov 03 05:16:07 GMT 2023","930","","","","","","Validate Council Output [BCPCouncil]",""
"failed","Fri Nov 03 05:19:38 GMT 2023","Fri Nov 03 05:19:38 GMT 2023","3","","","","","","Validate Council Output [NorthEastLincs]",""
"passed","Fri Nov 03 05:19:29 GMT 2023","Fri Nov 03 05:19:30 GMT 2023","816","","","","","","Validate Council Output [NewarkAndSherwoodDC]",""
"failed","Fri Nov 03 05:20:57 GMT 2023","Fri Nov 03 05:21:00 GMT 2023","2853","","","","","","Validate Council Output [WiltshireCouncil]",""
"failed","Fri Nov 03 05:19:09 GMT 2023","Fri Nov 03 05:19:12 GMT 2023","2380","","","","","","Validate Council Output [LondonBoroughHounslow]",""
"passed","Fri Nov 03 05:22:41 GMT 2023","Fri Nov 03 05:22:49 GMT 2023","8103","","","","","","Validate Council Output [WakefieldCityCouncil]",""
"passed","Fri Nov 03 05:16:08 GMT 2023","Fri Nov 03 05:16:12 GMT 2023","4089","","","","","","Validate Council Output [BoltonCouncil]",""
"failed","Fri Nov 03 05:19:18 GMT 2023","Fri Nov 03 05:19:23 GMT 2023","5105","","","","","","Validate Council Output [MertonCouncil]",""
"failed","Fri Nov 03 05:16:16 GMT 2023","Fri Nov 03 05:16:25 GMT 2023","8938","","","","","","Validate Council Output [ChelmsfordCityCouncil]",""
"passed","Fri Nov 03 05:16:18 GMT 2023","Fri Nov 03 05:16:33 GMT 2023","15067","","","","","","Validate Council Output [BroxtoweBoroughCouncil]",""
"passed","Fri Nov 03 05:19:12 GMT 2023","Fri Nov 03 05:19:13 GMT 2023","953","","","","","","Validate Council Output [MaldonDistrictCouncil]",""
"passed","Fri Nov 03 05:17:42 GMT 2023","Fri Nov 03 05:17:46 GMT 2023","4237","","","","","","Validate Council Output [NorthKestevenDistrictCouncil]",""
"passed","Fri Nov 03 05:19:24 GMT 2023","Fri Nov 03 05:19:29 GMT 2023","5106","","","","","","Validate Council Output [NeathPortTalbotCouncil]",""
"failed","Fri Nov 03 05:16:13 GMT 2023","Fri Nov 03 05:16:13 GMT 2023","4","","","","","","Validate Council Output [CastlepointDistrictCouncil]",""
"passed","Fri Nov 03 05:16:00 GMT 2023","Fri Nov 03 05:16:09 GMT 2023","8880","","","","","","Validate Council Output [CalderdaleCouncil]",""
"passed","Fri Nov 03 05:19:08 GMT 2023","Fri Nov 03 05:19:09 GMT 2023","830","","","","","","Validate Council Output [LisburnCastlereaghCityCouncil]",""
"failed","Fri Nov 03 05:17:06 GMT 2023","Fri Nov 03 05:17:07 GMT 2023","744","","","","","","Validate Council Output [FenlandDistrictCouncil]",""
"passed","Fri Nov 03 05:17:58 GMT 2023","Fri Nov 03 05:17:58 GMT 2023","738","","","","","","Validate Council Output [NorthNorthamptonshireCouncil]",""
"passed","Fri Nov 03 05:20:19 GMT 2023","Fri Nov 03 05:20:20 GMT 2023","589","","","","","","Validate Council Output [StHelensBC]",""
"passed","Fri Nov 03 05:17:47 GMT 2023","Fri Nov 03 05:17:52 GMT 2023","5293","","","","","","Validate Council Output [NorthLincolnshireCouncil]",""
"passed","Fri Nov 03 05:16:41 GMT 2023","Fri Nov 03 05:16:43 GMT 2023","2103","","","","","","Validate Council Output [EastleighBoroughCouncil]",""
"passed","Fri Nov 03 05:16:43 GMT 2023","Fri Nov 03 05:16:49 GMT 2023","5208","","","","","","Validate Council Output [EastLindseyDistrictCouncil]",""
"passed","Fri Nov 03 05:16:49 GMT 2023","Fri Nov 03 05:16:50 GMT 2023","981","","","","","","Validate Council Output [EastRidingCouncil]",""
"failed","Fri Nov 03 05:18:01 GMT 2023","Fri Nov 03 05:18:06 GMT 2023","4291","","","","","","Validate Council Output [NorthumberlandCouncil]",""
"passed","Fri Nov 03 05:17:37 GMT 2023","Fri Nov 03 05:17:42 GMT 2023","4958","","","","","","Validate Council Output [LancasterCityCouncil]",""
"passed","Fri Nov 03 05:16:05 GMT 2023","Fri Nov 03 05:16:06 GMT 2023","707","","","","","","Validate Council Output [BathAndNorthEastSomersetCouncil]",""
"passed","Fri Nov 03 05:16:00 GMT 2023","Fri Nov 03 05:16:05 GMT 2023","4237","","","","","","Validate Council Output [AylesburyValeCouncil]",""
"passed","Fri Nov 03 05:19:51 GMT 2023","Fri Nov 03 05:19:53 GMT 2023","2053","","","","","","Validate Council Output [SheffieldCityCouncil]",""
"passed","Fri Nov 03 05:19:40 GMT 2023","Fri Nov 03 05:19:42 GMT 2023","1665","","","","","","Validate Council Output [RochdaleCouncil]",""
"failed","Fri Nov 03 05:18:06 GMT 2023","Fri Nov 03 05:20:18 GMT 2023","131772","","","","","","Validate Council Output [PrestonCityCouncil]",""
"passed","Fri Nov 03 05:21:00 GMT 2023","Fri Nov 03 05:21:04 GMT 2023","3269","","","","","","Validate Council Output [WindsorAndMaidenheadCouncil]",""
"failed","Fri Nov 03 05:19:23 GMT 2023","Fri Nov 03 05:19:24 GMT 2023","892","","","","","","Validate Council Output [MidSussexDistrictCouncil]",""
"passed","Fri Nov 03 05:16:13 GMT 2023","Fri Nov 03 05:16:16 GMT 2023","2338","","","","","","Validate Council Output [CharnwoodBoroughCouncil]",""
"passed","Fri Nov 03 05:19:14 GMT 2023","Fri Nov 03 05:19:18 GMT 2023","3955","","","","","","Validate Council Output [ManchesterCityCouncil]",""
"failed","Fri Nov 03 05:16:28 GMT 2023","Fri Nov 03 05:16:29 GMT 2023","1297","","","","","","Validate Council Output [CroydonCouncil]",""
